segment_id,link_id,ref_node_id,start_lr,end_lr,grade,capacity,free_speed,lanes,l_lanes_added,r_lanes_added,bike_facility,ped_facility,parking,allowed_uses,toll,jurisdiction,row_width,opt_comment
1,21,2,250,660,,,,3,1,0,,,,,,,,LT Pocket Mystic SB
5,31,7,100,330,,,,3,1,0,,,,,,,,LT Pocket Mass WB
6,31,7,140,330,,,,4,0,1,,,,,,,,RT Pocket Mass WB
7,41,4,612,790,,,,3,1,1,,,,,,,,Turn pockets Pleasant NB
9,52,5,270,460,,,,4,1,1,,,,,,,,Turn pockets Mass EB
