segment_lane_id,segment_id,lane_num,parent_lane_id,allowed_uses,r_barrier,l_barrier,width
6886,2857,-1,,,,,
6887,2864,-1,,,,,
6888,2924,-1,,,,,
6889,2927,5,,,,,
6890,2927,-1,,,,,
6891,2928,-1,,,,,
6892,2932,-1,,,,,
6893,2934,5,,,,,
6894,2934,-1,,,,,
6895,2939,-1,,,,,
6896,2942,-1,,,,,
6897,2946,-1,,,,,
6898,2956,-1,,,,,
6899,2957,-1,,,,,
6900,2967,-1,,,,,
6901,2968,-1,,,,,
6902,2971,-1,,,,,
6903,2973,-1,,,,,
6904,2982,-1,,,,,
6905,2986,-1,,,,,
6906,2997,-1,,,,,
6907,2999,-1,,,,,
6908,3000,-1,,,,,
6909,3006,4,,,,,
6910,3006,-1,,,,,
6911,3021,-1,,,,,
6912,3036,-1,,,,,
6913,3037,-1,,,,,
6914,3043,-1,,,,,
6915,3058,-1,,,,,
6916,3063,-1,,,,,
6917,3066,-1,,,,,
6918,3067,-1,,,,,
6919,3068,4,,,,,
6920,3068,-1,,,,,
6921,3078,-1,,,,,
6922,3087,-1,,,,,
6923,3091,-1,,,,,
6924,3095,3,,,,,
6925,3096,-1,,,,,
6926,3097,-1,,,,,
6927,3104,-1,,,,,
6928,3106,-1,,,,,
6929,3114,-1,,,,,
6930,3116,-1,,,,,
6931,3117,-1,,,,,
6932,3128,-1,,,,,
6933,3129,-1,,,,,
6934,3133,-1,,,,,
6935,3149,-1,,,,,
6936,3152,-1,,,,,
6937,3162,-1,,,,,
6938,3169,-1,,,,,
6939,3170,-1,,,,,
6940,3172,4,,,,,
6941,3172,-1,,,,,
6942,3177,-1,,,,,
6943,3199,-1,,,,,
6944,3200,-1,,,,,
6945,3204,4,,,,,
6946,3209,-1,,,,,
6947,3212,-1,,,,,
6948,3213,-1,,,,,
6949,3214,-1,,,,,
6950,3216,-1,,,,,
6951,3218,-1,,,,,
6952,3225,-1,,,,,
6953,3238,-1,,,,,
6954,3257,-1,,,,,
6955,3283,-1,,,,,
6956,3297,-1,,,,,
6957,3298,-1,,,,,
6958,3306,-1,,,,,
6959,3307,-1,,,,,
6960,3311,5,,,,,
6961,3311,-1,,,,,
6962,3321,-1,,,,,
6963,3346,3,,,,,
6964,3386,-1,,,,,
6965,3401,-1,,,,,
6966,3404,-1,,,,,
6967,3411,-1,,,,,
6968,3412,-1,,,,,
6969,3434,-1,,,,,
6970,3440,-1,,,,,
