mvmt_id,node_id,name,ib_link_id,start_ib_lane,end_ib_lane,ob_link_id,start_ob_lane,end_ob_lane,type,penalty,capacity,ctrl_type
101,34,,100212 34,1,1,34 100212,1,1,uturn,,,none
102,35,,100096 35,1,1,35 100096,1,1,uturn,,,none
103,35,,101952 35,1,1,35 101952,1,1,uturn,,,none
104,36,,101935 36,1,1,36 101935,1,1,uturn,,,none
105,36,,101948 36,1,1,36 101948,1,1,uturn,,,none
106,37,,100213 37,1,1,37 100213,1,1,uturn,,,none
107,37,,101947 37,1,1,37 101947,1,1,uturn,,,none
108,38,,101949 38,1,1,38 101949,1,1,uturn,,,none
109,38,,101951 38,1,1,38 101951,1,1,uturn,,,none
110,38,,101964 38,1,1,38 101964,1,1,uturn,,,none
111,39,,100214 39,1,1,39 100214,1,1,uturn,,,none
112,39,,100220 39,1,1,39 100220,1,1,uturn,,,none
113,40,,101962 40,1,1,40 101962,1,1,uturn,,,none
114,41,,100175 41,1,1,41 100175,1,1,uturn,,,none
115,41,,100744 41,1,1,41 100744,1,1,uturn,,,none
116,42,,100102 42,1,1,42 100102,1,1,uturn,,,none
117,43,,101927 43,1,1,43 101927,1,1,uturn,,,none
118,43,,101934 43,1,1,43 101934,1,1,uturn,,,none
119,44,,100183 44,1,1,44 100183,1,1,uturn,,,none
120,44,,100185 44,1,1,44 100185,1,1,uturn,,,none
121,45,,100125 45,1,1,45 100125,1,1,uturn,,,none
122,45,,100166 45,1,1,45 100166,1,1,uturn,,,none
123,45,,100182 45,1,1,45 100182,1,1,uturn,,,none
124,46,,100125 46,1,1,46 100125,1,1,uturn,,,none
125,47,,100126 47,1,1,47 100126,1,1,uturn,,,none
126,47,,100568 47,1,1,47 100568,1,1,uturn,,,none
127,48,,100198 48,1,1,48 100198,1,1,uturn,,,none
128,49,,100196 49,1,1,49 100196,1,1,uturn,,,none
129,50,,100194 50,1,1,50 100194,1,1,uturn,,,none
130,51,,100155 51,1,1,51 100155,1,1,uturn,,,none
131,52,,100128 52,1,1,52 100128,1,1,uturn,,,none
132,52,,100152 52,1,1,52 100152,1,1,uturn,,,none
133,53,,100094 53,1,1,53 100094,1,1,uturn,,,none
134,53,,100095 53,1,1,53 100095,1,1,uturn,,,none
135,54,,100089 54,1,1,54 100089,1,1,uturn,,,none
136,54,,101957 54,1,1,54 101957,1,1,uturn,,,none
137,55,,100087 55,1,1,55 100087,1,1,uturn,,,none
138,55,,100099 55,1,1,55 100099,1,1,uturn,,,none
139,55,,100258 55,1,1,55 100258,1,1,uturn,,,none
140,56,,100084 56,1,1,56 100084,1,1,uturn,,,none
141,57,,100103 57,1,1,57 100103,1,1,uturn,,,none
142,57,,100106 57,1,1,57 100106,1,1,uturn,,,none
143,58,,100104 58,1,1,58 100104,1,1,uturn,,,none
144,58,,100110 58,1,1,58 100110,1,1,uturn,,,none
145,59,,100106 59,1,1,59 100106,1,1,uturn,,,none
146,59,,100218 59,1,1,59 100218,1,1,uturn,,,none
147,59,,100223 59,1,1,59 100223,1,1,uturn,,,none
148,60,,100085 60,1,1,60 100085,1,1,uturn,,,none
149,61,,100110 61,1,1,61 100110,1,1,uturn,,,none
150,62,,100599 62,1,1,62 100599,1,1,uturn,,,none
151,63,,100238 63,1,1,63 100238,1,1,uturn,,,none
152,63,,100242 63,1,1,63 100242,1,1,uturn,,,none
153,63,,100243 63,1,1,63 100243,1,1,uturn,,,none
154,64,,100161 64,1,1,64 100161,1,1,uturn,,,none
155,65,,100117 65,1,1,65 100117,1,1,uturn,,,none
156,65,,100655 65,1,1,65 100655,1,1,uturn,,,none
157,66,,100239 66,1,1,66 100239,1,1,uturn,,,none
158,66,,102554 66,1,1,66 102554,1,1,uturn,,,none
159,67,,100199 67,1,1,67 100199,1,1,uturn,,,none
160,67,,100645 67,1,1,67 100645,1,1,uturn,,,none
161,68,,100154 68,1,1,68 100154,1,1,uturn,,,none
162,68,,100652 68,1,1,68 100652,1,1,uturn,,,none
163,68,,100654 68,1,1,68 100654,1,1,uturn,,,none
164,69,,100646 69,1,1,69 100646,1,1,uturn,,,none
165,69,,100648 69,1,1,69 100648,1,1,uturn,,,none
166,70,,100663 70,1,1,70 100663,1,1,uturn,,,none
167,71,,100157 71,1,1,71 100157,1,1,uturn,,,none
168,71,,100160 71,1,1,71 100160,1,1,uturn,,,none
169,72,,100657 72,1,1,72 100657,1,1,uturn,,,none
170,72,,100699 72,1,1,72 100699,1,1,uturn,,,none
171,73,,100662 73,1,1,73 100662,1,1,uturn,,,none
172,73,,100665 73,1,1,73 100665,1,1,uturn,,,none
173,73,,103415 73,1,1,73 103415,1,1,uturn,,,none
174,73,,103978 73,1,1,73 103978,1,1,uturn,,,none
175,74,,100057 74,1,1,74 100057,1,1,uturn,,,none
176,74,,100062 74,1,1,74 100062,1,1,uturn,,,none
177,75,,100060 75,1,1,75 100060,1,1,uturn,,,none
178,75,,100061 75,1,1,75 100061,1,1,uturn,,,none
179,76,,100070 76,1,1,76 100070,1,1,uturn,,,none
180,76,,100072 76,1,1,76 100072,1,1,uturn,,,none
181,76,,100073 76,1,1,76 100073,1,1,uturn,,,none
182,76,,100080 76,1,1,76 100080,1,1,uturn,,,none
183,77,,100206 77,1,1,77 100206,1,1,uturn,,,none
184,77,,100575 77,1,1,77 100575,1,1,uturn,,,none
185,77,,100580 77,1,1,77 100580,1,1,uturn,,,none
186,78,,100205 78,1,1,78 100205,1,1,uturn,,,none
187,78,,100259 78,1,1,78 100259,1,1,uturn,,,none
188,78,,100571 78,1,1,78 100571,1,1,uturn,,,none
189,79,,100202 79,1,1,79 100202,1,1,uturn,,,none
190,79,,100597 79,1,1,79 100597,1,1,uturn,,,none
191,80,,100201 80,1,1,80 100201,1,1,uturn,,,none
192,80,,100256 80,1,1,80 100256,1,1,uturn,,,none
193,80,,100585 80,1,1,80 100585,1,1,uturn,,,none
194,81,,100257 81,1,1,81 100257,1,1,uturn,,,none
195,81,,100604 81,1,1,81 100604,1,1,uturn,,,none
196,81,,100675 81,1,1,81 100675,1,1,uturn,,,none
197,82,,100610 82,1,1,82 100610,1,1,uturn,,,none
198,82,,100613 82,1,1,82 100613,1,1,uturn,,,none
199,82,,100675 82,1,1,82 100675,1,1,uturn,,,none
200,83,,100603 83,1,1,83 100603,1,1,uturn,,,none
201,84,,100615 84,1,1,84 100615,1,1,uturn,,,none
202,85,,100619 85,1,1,85 100619,1,1,uturn,,,none
203,85,,100621 85,1,1,85 100621,1,1,uturn,,,none
204,86,,100620 86,1,1,86 100620,1,1,uturn,,,none
205,86,,100673 86,1,1,86 100673,1,1,uturn,,,none
206,87,,100639 87,1,1,87 100639,1,1,uturn,,,none
207,87,,100672 87,1,1,87 100672,1,1,uturn,,,none
208,88,,100638 88,1,1,88 100638,1,1,uturn,,,none
