lane_id,link_id,lane_num,allowed_uses,r_barrier,l_barrier,width
231,100054 100051,1,,,,
232,100054 100051,2,,,,
233,100054 100055,1,,,,
234,100054 100055,2,,,,
235,100055 100056,1,,,,
236,100055 100056,2,,,,
237,100055 12,1,,,,
238,100055 92,1,,,,
239,100056 100050,1,,,,
240,100056 100057,1,,,,
241,100056 100057,2,,,,
242,100056 100057,3,,,,
243,100056 100062,1,,,,
244,100057 100058,1,,,,
245,100057 100058,2,,,,
246,100057 100058,3,,,,
247,100057 13,1,,,,
248,100057 74,1,,,,
249,100058 100059,1,,,,
250,100058 100059,2,,,,
251,100058 100059,3,,,,
252,100059 100061,1,,,,
253,100059 104439,1,,,,
254,100059 104439,2,,,,
255,100059 104440,1,,,,
256,100060 100088,1,,,,
257,100060 100088,2,,,,
258,100060 104439,1,,,,
259,100060 75,1,,,,
260,100061 100059,1,,,,
261,100061 100071,1,,,,
262,100061 75,1,,,,
263,100062 100056,1,,,,
264,100062 100069,1,,,,
265,100062 74,1,,,,
266,100062 92,1,,,,
267,100063 100054,1,,,,
268,100063 100054,2,,,,
269,100063 92,1,,,,
270,100064 100052,1,,,,
271,100064 100250,1,,,,
272,100064 110,1,,,,
273,100065 100066,1,,,,
274,100065 100250,1,,,,
275,100066 100065,1,,,,
276,100066 100067,1,,,,
277,100066 100075,1,,,,
278,100066 100075,2,,,,
279,100067 100015,1,,,,
280,100067 100015,2,,,,
281,100067 100066,1,,,,
282,100067 100068,1,,,,
283,100068 100067,1,,,,
284,100068 100069,1,,,,
285,100069 100062,1,,,,
286,100069 100068,1,,,,
287,100069 100070,1,,,,
288,100069 100073,1,,,,
289,100070 100069,1,,,,
290,100070 100071,1,,,,
291,100070 76,1,,,,
292,100071 100061,1,,,,
293,100071 100070,1,,,,
294,100071 100072,1,,,,
295,100071 100086,1,,,,
296,100072 100071,1,,,,
297,100072 100081,1,,,,
298,100072 76,1,,,,
299,100073 100069,1,,,,
300,100073 100079,1,,,,
301,100073 76,1,,,,
302,100073 93,1,,,,
303,100074 100067,1,,,,
304,100074 100067,2,,,,
305,100074 93,1,,,,
306,100074 94,1,,,,
307,100075 100076,1,,,,
308,100075 100076,2,,,,
309,100075 94,1,,,,
310,100076 100077,1,,,,
311,100076 101839,1,,,,
312,100077 100074,1,,,,
313,100077 100074,2,,,,
314,100077 100076,1,,,,
315,100077 100078,1,,,,
316,100077 100574,1,,,,
317,100078 100077,1,,,,
318,100078 100079,1,,,,
319,100078 97,1,,,,
320,100079 100073,1,,,,
321,100079 100078,1,,,,
322,100079 100080,1,,,,
323,100079 100575,1,,,,
324,100080 100079,1,,,,
325,100080 100081,1,,,,
326,100080 76,1,,,,
327,100081 100072,1,,,,
328,100081 100080,1,,,,
329,100081 100082,1,,,,
330,100081 100576,1,,,,
331,100082 100081,1,,,,
332,100082 100083,1,,,,
333,100082 100086,1,,,,
334,100082 100204,1,,,,
335,100083 100082,1,,,,
336,100083 100084,1,,,,
337,100083 100258,1,,,,
338,100083 100259,1,,,,
339,100084 100083,1,,,,
340,100084 100085,1,,,,
341,100084 56,1,,,,
342,100085 100084,1,,,,
343,100085 100109,1,,,,
344,100085 170,1,,,,
345,100085 60,1,,,,
346,100086 100071,1,,,,
347,100086 100082,1,,,,
348,100086 100088,1,,,,
349,100086 100099,1,,,,
350,100087 100088,1,,,,
