geometry_id,geometry
103,"LINESTRING(1525674 1003396,1525170 1003456)"
104,"LINESTRING(1526310 1010389,1528086.894 1010461.225)"
105,"LINESTRING(1526310 1010389,1526313.469 1008981.403)"
106,"LINESTRING(1525471 1007787,1525448 1006848)"
107,"LINESTRING(1525471 1007787,1525499.773 1009039.572)"
108,"LINESTRING(1527361 1007748,1527417.053 1009359.197)"
109,"LINESTRING(1527361 1007748,1528043.404 1007723.345)"
110,"LINESTRING(1527361 1007748,1527392.259 1006695.344)"
111,"LINESTRING(1530722.073 1010795.08,1530704.612 1007598.863)"
112,"LINESTRING(1530722.073 1010795.08,1530785.114 1014333.419)"
113,"LINESTRING(1529813 1006220,1529088.586 1006999.35)"
114,"LINESTRING(1508488 1001637,1508631.919 1001198.99)"
115,"LINESTRING(1508488 1001637,1508485.469 1002263.197)"
116,"LINESTRING(1528345 1003328,1528369.186 1002890.151)"
117,"LINESTRING(1529627 1016182,1528166 1016221)"
118,"LINESTRING(1529627 1016182,1529573.242 1014297.733)"
119,"LINESTRING(1537870 1013607,1537475.844 1014323.652)"
120,"LINESTRING(1537870 1013607,1538700 1013547)"
121,"LINESTRING(1541263 1011698,1541280.484 1009186.036)"
122,"LINESTRING(1541263 1011698,1538746.257 1011710.929)"
123,"LINESTRING(1541263 1011698,1541386.08 1015255.958)"
124,"LINESTRING(1538323.502 1007384.282,1541280.484 1009186.036)"
125,"LINESTRING(1537052 1025750,1534289.407 1024965.057)"
126,"LINESTRING(1537052 1025750,1538929.54 1025410.799)"
127,"LINESTRING(1547583 1027882,1549509.019 1028098.244)"
128,"LINESTRING(1550594 1022186,1549417.161 1021407.168)"
129,"LINESTRING(1550372 1016409,1549316.334 1016315.382)"
130,"LINESTRING(1550657 1011827,1549249.116 1011694.124)"
131,"LINESTRING(1543746 1005428,1542551.912 1003728.689)"
132,"LINESTRING(1543746 1005428,1543857.34 1009974.247)"
133,"LINESTRING(1525964 1002456,1525308.886 1002474.781)"
134,"LINESTRING(1525964 1002456,1525947.755 1002917.578)"
135,"LINESTRING(1524945 1001756,1525279.708 1001733.626)"
136,"LINESTRING(1524945 1001756,1525011.57 1001888.864)"
137,"LINESTRING(1526576 1000136,1526582.342 1001105.549)"
138,"LINESTRING(1526576 1000136,1525440.822 1000115.921)"
139,"LINESTRING(1526576 1000136,1526983.22 998741.375)"
140,"LINESTRING(1527987 999027,1527768.576 998459.375)"
