node_id,name,x_coord,y_coord,z_coord,node_type,ctrl_type,zone
1221,,-71.140669,42.385143,,,,
152,,-71.1143375,42.36199099999997,,,,
378,,-71.1146164,42.36313119999999,,,,
1110,,-71.1450355,42.37891220000001,,,,
55,,-71.10368890000726,42.357513350000524,,,,
1024,,-71.1466597,42.378858299999976,,,,
1019,,-71.14740000001193,42.37872300000564,,traffic_signals,,
352,,-71.08947866696609,42.364827123731814,,traffic_signals,,
1016,,-71.126787,42.3790442,,,,
978,,-71.1506519,42.3774891,,,,
1107,,-71.1256525,42.3794236,,traffic_signals,,
1028,,-71.127078,42.37894719999999,,,,
962,,-71.1504689,42.376909999999995,,,,
1483,,-71.1283529,42.39393259999997,,,,
927,,-71.1415298,42.37567529999999,,,,
902,,-71.1415864,42.37598789999997,,,,
323,,-71.0882196,42.366597600000006,,,,
41,,-71.1134703,42.355779800000015,,,,
410,,-71.0909338,42.36774079999999,,,,
1479,,-71.12865490005213,42.39365305000734,,,,
779,,-71.0912184,42.367245899999986,,,,
172,,-71.09527090000002,42.363098,,,,
347,,-71.08660515004304,42.366226500013376,,,,
1049,,-71.1220887,42.37969360000002,,,,
1060,,-71.1222576,42.379992400000006,,,,
377,,-71.0983608,42.36333219999999,,,,
381,,-71.0994207,42.363417099999964,,traffic_signals,,
992,,-71.1505538,42.3771743,,,,
1605,,-71.1448023,42.37672309999998,,,,
369,,-71.1140366,42.36299139999999,,,,
753,,-71.1068905,42.37005179999998,,,,
288,,-71.0979075,42.36520889999998,,,,
283,,-71.0982857,42.36528819999998,,,,
1401,,-71.130542,42.39131199999998,,,,
1607,,-71.1440986,42.37667679999997,,,,
1070,,-71.1412918,42.38069349999997,,,,
306,,-71.08801824994194,42.36638605002395,,traffic_signals,,
1064,,-71.1424829,42.38092529999998,,turning_circle,,
704,,-71.1201488,42.37256999999998,,traffic_signals,,
641,,-71.1204887,42.37216329999998,,,,
1429,,-71.132855,42.393476,,traffic_signals,,
191,,-71.0990687,42.362649599999955,,,,
766,,-71.10367479997045,42.370373150021145,,,,
73,,-71.0930839,42.358191099999985,,traffic_signals,,
1068,,-71.1334673,42.38078990000001,,,,
1067,,-71.134156,42.38082099999999,,,,
254,,-71.0981248,42.36464019999998,,,,
854,,-71.1193837,42.37572529999999,,,,
665,,-71.1142346,42.37205069999998,,,,
245,,-71.0983715,42.3639782,,,,
903,,-71.1456746,42.375967099999976,,,,
653,,-71.081175,42.372604999999986,,,,
661,,-71.1185744,42.3719668,,,,
743,,-71.07611664608457,42.37065787221898,,,,
645,,-71.11522014997463,42.372327300022704,,,,
1406,,-71.156604,42.391784999999985,,,,
968,,-71.1344002,42.377280699999986,,,,
658,,-71.0989799,42.372208099999995,,traffic_signals,,
1035,,-71.134666,42.378102999999975,,,,
