link_id,name,from_node_id,to_node_id,directed,geometry_id,geometry,parent_link_id,dir_flag,length,grade,facility_type,capacity,free_speed,lanes,bike_facility,ped_facility,parking,allowed_uses,jurisdiction,row_width
942,"['Churchill Avenue', 'Matignon Road']",1568,1561,1,565,,,1,171.98902527762976,,residential,,,2,,,,,,"['12.2', '11.6']"
943,Muller Avenue,1564,1561,1,566,,,1,71.03140409229917,,residential,,,2,,,,,,11.0
944,Muller Avenue,1561,1564,1,566,,566,-1,71.03140409229917,,residential,,,2,,,,,,11.0
945,Churchill Avenue,1561,1553,1,567,,567,-1,114.83546426175796,,residential,,,2,,,,,,12.2
946,Churchill Avenue,1553,1561,1,567,,,1,114.83546426175796,,residential,,,2,,,,,,12.2
947,Murray Hill Road,1566,1568,1,568,,568,-1,50.516373336065435,,residential,,,2,,,,,,12.2
948,Murray Hill Road,1568,1566,1,568,,,1,50.516373336065435,,residential,,,2,,,,,,12.2
949,Muller Avenue,1566,1564,1,569,,569,-1,61.779191248496396,,residential,,,2,,,,,,11.0
950,Muller Avenue,1564,1566,1,569,,,1,61.779191248496396,,residential,,,2,,,,,,11.0
951,Windsor Street,138,195,1,570,,570,-1,54.82948883008433,,residential,,25 mph,1,,,,,,12.2
952,Windsor Street,195,138,1,570,,,1,54.82948883008433,,residential,,25 mph,1,,,,,,12.2
953,Massachusetts Avenue,138,118,1,571,,571,-1,99.01820830451308,,secondary,,25 mph,4,,,,,,24.4
954,Massachusetts Avenue,118,138,1,571,,,1,99.01820830451308,,secondary,,25 mph,4,,,,,,24.4
955,Massachusetts Avenue,202,138,1,572,,,1,64.27458410170424,,secondary,,25 mph,4,,,,,,24.4
956,Massachusetts Avenue,138,202,1,572,,572,-1,64.27458410170424,,secondary,,25 mph,4,,,,,,24.4
957,,691,767,1,573,,,1,150.1337710917036,,trunk_link,,,2,,,,,,25.9
958,Memorial Drive,1630,767,1,574,,,1,72.49899585769617,,trunk,,40 mph,2,,,,,,30.2
959,Gerry's Landing Road,691,1630,1,575,,,1,104.46786066344495,,trunk,,,3,,,,,,25.9
960,,793,1630,1,576,,,1,105.39923630715421,,trunk_link,,,2,,,,,,25.9
961,Memorial Drive,783,1630,1,577,,,1,129.31296414096482,,trunk,,40 mph,2,,,,,,30.2
962,Cambridge Street,802,805,1,578,,,1,31.261128323216038,,tertiary,,,2,,,,,,21.3
963,Cambridge Street,805,802,1,578,,578,-1,31.261128323216038,,tertiary,,,2,,,,,,21.3
964,Cambridge Street,805,778,1,579,,579,-1,108.03613173122002,,tertiary,,,2,,,,,,21.3
965,Cambridge Street,778,805,1,579,,,1,108.03613173122002,,tertiary,,,2,,,,,,21.3
966,Line Street,802,819,1,580,,,1,232.80267487567824,,residential,,25 mph,1,,,,,,9.8
967,Fainwood Circle,1627,679,1,582,,,1,42.33456321691903,,residential,,25 mph,2,,,,,,10.4
968,Fainwood Circle,679,1627,1,582,,582,-1,42.33456321691903,,residential,,25 mph,2,,,,,,10.4
969,Fayette Street,566,679,1,583,,,1,250.77538155204064,,residential,,25 mph,1,,,,,,12.2
970,Fainwood Circle,1627,670,1,584,,,1,65.25995859038395,,residential,,25 mph,2,,,,,,10.4
971,Fainwood Circle,670,1627,1,584,,584,-1,65.25995859038395,,residential,,25 mph,2,,,,,,10.4
972,Merrill Street,616,560,1,585,,,1,86.69420137177026,,residential,,25 mph,2,,,,,,10.7
973,Merrill Street,560,616,1,585,,585,-1,86.69420137177026,,residential,,25 mph,2,,,,,,10.7
974,Chatham Street,579,560,1,586,,,1,56.020727429829336,,residential,,25 mph,2,,,,,,12.2
975,Chatham Street,560,579,1,586,,586,-1,56.020727429829336,,residential,,25 mph,2,,,,,,12.2
976,Chatham Street,704,560,1,587,,,1,49.156646782158184,,residential,,25 mph,2,,,,,,12.2
977,Chatham Street,560,704,1,587,,587,-1,49.156646782158184,,residential,,25 mph,2,,,,,,12.2
978,Broadway,616,646,1,588,,,1,53.412961876967984,,tertiary,,,2,,,,,,24.4
979,Broadway,646,616,1,588,,588,-1,53.412961876967984,,tertiary,,,2,,,,,,24.4
980,Ellsworth Avenue,1626,646,1,589,,,1,153.9424777403209,,residential,,25 mph,1,,,,,,12.2
981,Broadway,646,693,1,590,,590,-1,60.09657031955986,,tertiary,,,2,,,,,,24.4
982,Broadway,693,646,1,590,,,1,60.09657031955986,,tertiary,,,2,,,,,,24.4
983,Goodman Road,704,646,1,591,,,1,91.29559275722465,,residential,,25 mph,1,,,,,,10.7
984,Broadway,619,616,1,592,,592,-1,52.7365022489723,,tertiary,,,2,,,,,,24.4
985,Broadway,616,619,1,592,,,1,52.7365022489723,,tertiary,,,2,,,,,,24.4
986,Broadway,619,705,1,593,,593,-1,69.36040403039293,,tertiary,,,2,,,,,,24.4
987,Broadway,705,619,1,593,,,1,69.36040403039293,,tertiary,,,2,,,,,,24.4
988,Crawford Street,619,579,1,594,,594,-1,83.21867559860166,,residential,,25 mph,2,,,,,,11.0
989,Crawford Street,579,619,1,594,,,1,83.21867559860166,,residential,,25 mph,2,,,,,,11.0
990,Third Street,617,564,1,595,,595,-1,44.5041119324894,,tertiary,,,2,,,,,,14.6
991,Third Street,564,617,1,595,,,1,44.5041119324894,,tertiary,,,2,,,,,,14.6
992,Third Street,617,614,1,596,,596,-1,29.539495075920186,,tertiary,,,2,,,,,,14.6
993,Third Street,614,617,1,596,,,1,29.539495075920186,,tertiary,,,2,,,,,,14.6
994,Lineham Court,622,617,1,597,,,1,40.1079051787641,,residential,,25 mph,2,,,,,,9.1
995,Lineham Court,617,622,1,597,,597,-1,40.1079051787641,,residential,,25 mph,2,,,,,,9.1
996,Gore Street,585,564,1,598,,598,-1,103.58321906404282,,tertiary,,25 mph,2,,,,,,15.2
997,Gore Street,564,585,1,598,,,1,103.58321906404282,,tertiary,,25 mph,2,,,,,,15.2
998,Third Street,596,564,1,600,,600,-1,78.77588843295193,,tertiary,,,"['2', '3']",,,,,,14.6
999,Third Street,564,596,1,600,,,1,78.77588843295193,,tertiary,,,"['2', '3']",,,,,,14.6
1000,Cambridge Street,552,596,1,601,,,1,138.18257541672725,,tertiary,,25 mph,2,,,,,,21.3
1001,Cambridge Street,596,552,1,601,,601,-1,138.18257541672725,,tertiary,,25 mph,2,,,,,,21.3
1002,Cambridge Street,596,546,1,602,,602,-1,104.85990724803608,,tertiary,,25 mph,2,,,,,,21.3
1003,Cambridge Street,546,596,1,602,,,1,104.85990724803608,,tertiary,,25 mph,2,,,,,,21.3
1004,Third Street,596,722,1,603,,603,-1,78.77800484401325,,tertiary,,25 mph,2,,,,,,14.6
1005,Third Street,722,596,1,603,,,1,78.77800484401325,,tertiary,,25 mph,2,,,,,,14.6
1006,Broadway,616,646,1,604,,604,-1,53.412961876967984,,tertiary,,,2,,,,,,24.4
1007,Broadway,646,616,1,604,,,1,53.412961876967984,,tertiary,,,2,,,,,,24.4
1008,Broadway,616,619,1,605,,605,-1,52.7365022489723,,tertiary,,,2,,,,,,24.4
1009,Broadway,619,616,1,605,,,1,52.7365022489723,,tertiary,,,2,,,,,,24.4
1010,Merrill Street,560,616,1,606,,,1,86.69420137177026,,residential,,25 mph,2,,,,,,10.7
1011,Merrill Street,616,560,1,606,,606,-1,86.69420137177026,,residential,,25 mph,2,,,,,,10.7
1012,Memorial Drive,760,492,1,607,,607,-1,170.05679282896568,,primary,,,4,,,,,,30.2
1013,Memorial Drive,492,760,1,607,,,1,170.05679282896568,,primary,,,4,,,,,,30.2
1014,Flagg Street,760,759,1,608,,608,-1,135.09299865239112,,residential,,25 mph,2,,,,,,12.2
1015,Flagg Street,759,760,1,608,,,1,135.09299865239112,,residential,,25 mph,2,,,,,,12.2
1016,Memorial Drive,303,760,1,609,,,1,223.92139066265995,,primary,,,4,,,,,,30.2
1017,Memorial Drive,760,303,1,609,,609,-1,223.92139066265995,,primary,,,4,,,,,,30.2
1018,Line Street,819,876,1,610,,,1,90.39516266843815,,residential,,25 mph,1,,,,,,9.8
1019,Plympton Street,482,592,1,611,,,1,79.88969670491645,,tertiary,,,2,,,,,,10.4;12.2
1020,Mill Street,556,592,1,612,,,1,170.44405710244527,,residential,,25 mph,1,,,,,,10.4
1021,Memorial Drive,482,741,1,613,,,1,360.26773850353754,,primary,,,4,,,,,,30.2
1022,Memorial Drive,741,482,1,613,,613,-1,360.26773850353754,,primary,,,4,,,,,,30.2
1023,John F. Kennedy Street,741,621,1,614,,614,-1,211.1546899246243,,secondary,,25 mph,3,,,,,,19.8
