link_id,name,from_node_id,to_node_id,directed,geometry,geometry_id,parent_link_id,dir_flag,length,capacity,free_speed,lanes,bike_facility,ped_facility,parking,allowed_uses,facility_type,grade,notes
4619,Main Street,7,21,TRUE,"LINESTRING (-71.0881669 42.3625586,-71.0879984 42.3625454,-71.0871228 42.3624759,-71.0870814 42.3624726,-71.0862604 42.3624095,-71.0861542 42.3624019,-71.0860376 42.3623925,-71.085167 42.362326,-71.0850211 42.3623099)",,,1,,1000,25,1,BikeLane,Sidewalk,Parallel,"AUTO, BIKE",,,3566784619
14619,Main Street,21,7,TRUE,"LINESTRING (-71.0881669 42.3625586,-71.0879984 42.3625454,-71.0871228 42.3624759,-71.0870814 42.3624726,-71.0862604 42.3624095,-71.0861542 42.3624019,-71.0860376 42.3623925,-71.085167 42.362326,-71.0850211 42.3623099)",,,-1,,1000,25,1,BikeLane,Sidewalk,Parallel,"AUTO, BIKE",,,
8461,Main Street,21,25,TRUE,"LINESTRING (-71.0850211 42.3623099,-71.0849092 42.3622976,-71.0847306 42.3622759,-71.084223 42.3622044,-71.0841325 42.3622015,-71.0840639 42.3622008,-71.0840032 42.3622068,-71.0839448 42.3622175,-71.0838974 42.3622341,-71.0838571 42.3622573,-71.0838224 42.3622846)",,,1,,1000,25,1,BikeLane,Sidewalk,Parallel,"AUTO, BIKE",,,356678461
7761,Main Street,7,1,TRUE,"LINESTRING (-71.0881584 42.3626232,-71.0883758 42.3626364,-71.0888452 42.3626678,-71.0889017 42.3626725,-71.0889476 42.3626789,-71.0890098 42.3626908,-71.0890545 42.3626969,-71.0891149 42.3627005,-71.0892129 42.3627063, -71.0898 42.36275)",,,1,288,1000,25,1,BikeLane,Sidewalk,Parallel,"AUTO, BIKE",,,370197761
6011,Main Street,21,22,TRUE,"LINESTRING (-71.0850211 42.3623099,-71.0848315 42.3623286,-71.0847338 42.3623491,-71.0846428 42.3623908,-71.0844662 42.3625529,-71.0844072 42.3625996,-71.0844086 42.3626504)",,,1,207,1000,25,1,BikeLane,Sidewalk,Parallel,"AUTO, BIKE",,,576786011
7337,Main Street,1,7,TRUE,"LINESTRING (-71.0899422 42.3627194,-71.0896637 42.3626741,-71.0883553 42.3625756,-71.0881669 42.3625586)",,,1,483,1000,25,1,BikeLane,Sidewalk,Parallel,"AUTO, BIKE",,,591217337
4222,Ames Street,11,7,TRUE,"LINESTRING (-71.0873359 42.363905,-71.0879905 42.3630931,-71.0880814 42.3626176)",,,1,541,1000,25,1,CycleTrack,Sidewalk,Parallel,BIKE,,,668954222
9910,Ames Street,10,7,TRUE,"LINESTRING (-71.0876411 42.3600151,-71.0881849 42.3609241,-71.0881972 42.3609441,-71.088271 42.3610656,-71.0882959 42.3611079,-71.0883206 42.3611753,-71.0883302 42.3612499,-71.0883306 42.3613297,-71.088182 42.3624442,-71.0881669 42.3625586)",,,1,938,1000,25,1,BikeLane,Sidewalk,Parallel,"AUTO, BIKE",,,42769910
31101,Broadway sidewalk,302,1105,FALSE,"LINESTRING(-71.089331 42.364648,-71.087665 42.363938)",,311,0,,,,,,,,WALK,Sidewalk,,Broadway EB approaching Ames SIDEWALK
11301,Broadway sidewalk,1103,301,FALSE,"LINESTRING(-71.087488 42.364142,-71.089277 42.364874)",,113,0,,,,,,,,WALK,Sidewalk,,"Westbound, west of Ames SIDEWALK"
