signal_phase_mvmt_id,signal_phase_id,controller_id,signal_phase_num,mvmt_id,link_id,protection,notes
1110,111,11,1,1101,,protected,Ames NB R to Broadway
1150,115,11,8,1102,,protected,Ames NB L to Broadway
1151,115,11,8,1104,,protected,Ames Cycletrack to Volpe path
1152,115,11,8,1105,,permitted,Ames Cycletrack L to Broadway
1153,115,11,8,1106,,permitted,Ames Cycletrack R to Broadway
1111,111,11,1,1106,,protected,Ames Cycletrack R to Broadway
1120,112,11,2,1107,,protected,Broadway EB thru @ Ames
1154,115,11,8,1108,,protected,Broadway EB R to Ames
1155,115,11,8,1110,,protected,Broadway EB R to Ames (bike)
1121,112,11,2,1110,,permitted,Broadway EB R to Ames (bike)
1122,112,11,2,1111,,permitted,Broadway EB L to Volpe path
1112,111,11,1,1112,,protected,Broadway WB L to Ames
1130,113,11,6,1113,,protected,Broadway WB thru @ Ames
1131,113,11,6,1116,,permitted,Broadway WB R to Volpe path
1113,111,11,1,1117,,permitted,Broadway WB L to Ames cycletrack
1156,115,11,8,1118,,protected,Volpe path to Ames cycletrack
1114,111,11,1,1119,,permitted,Volpe path to Broadway WB
1157,115,11,8,1120,,permitted,Volpe path to Broadway EB
1158,115,11,8,,11001,permitted,Crosswalk - east side crossing Bwy
1140,114,11,5,,11002,permitted,Crosswalk - west side crossing Bwy
1123,112,11,2,,11003,permitted,Crosswalk - south side crossing Ames
1132,113,11,6,,11004,permitted,Crosswalk - north side crossing bikepath
