link_geometry_id,name,facility_type,grade,geometry,length,row_width,jurisdiction
75,"",HOT,0,"LINESTRING(1514001 1019473,1514014.935 1016848.925)",2624,,
76,"",HOT,0,"LINESTRING(1514001 1019473,1517544.305 1020351.857)",3650,,
77,"",HOT,0,"LINESTRING(1520931 1021918,1520292 1019557)",2445,,
78,"",HOT,0,"LINESTRING(1520931 1021918,1522961 1022240)",2055,,
79,"",HOT,0,"LINESTRING(1525292 1022231,1525330 1024882)",2651,,
80,"",HOT,0,"LINESTRING(1525292 1022231,1522961 1022240)",2331,,
81,"",HOT,0,"LINESTRING(1530894 1021975,1533572.191 1023488.576)",3076,,
82,"",HOT,0,"LINESTRING(1530894 1021975,1530272 1024915)",3005,,
83,"",HOT,0,"LINESTRING(1530894 1021975,1528798.62 1019625.949)",3147,,
84,"",HOT,0,"LINESTRING(1524925 1016980,1524943 1019640)",2660,,
85,"",HOT,0,"LINESTRING(1524925 1016980,1522831.345 1013765.698)",3836,,
86,"",HOT,0,"LINESTRING(1520967 1017101,1521967.108 1012958.852)",4261,,
87,"",HOT,0,"LINESTRING(1520967 1017101,1520292 1019557)",2547,,
88,"",HOT,0,"LINESTRING(1520967 1017101,1522894 1016948)",1933,,
89,"",HOT,0,"LINESTRING(1507425 1024921,1507150 1029906)",4992,,
90,"",HOT,0,"LINESTRING(1507425 1024921,1503985.231 1025627.783)",3511,,
91,"",HOT,0,"LINESTRING(1507425 1024921,1509747.818 1024816.096)",2325,,
92,"",HOT,0,"LINESTRING(1513827 1024725,1509747.818 1024816.096)",4080,,
93,"",HOT,0,"LINESTRING(1513827 1024725,1517564.023 1024728.936)",3737,,
94,"",HOT,0,"LINESTRING(1519421.348 1027000.82,1517583.961 1027318.066)",1864,,
95,"",HOT,0,"LINESTRING(1519421.348 1027000.82,1521842.24 1026442.485)",2484,,
96,"",HOT,0,"LINESTRING(1528420 1027515,1533578.962 1027030.119)",5181,,
97,"",HOT,0,"LINESTRING(1528420 1027515,1528508 1030136)",2622,,
98,"",HOT,0,"LINESTRING(1528420 1027515,1525429 1027533)",2991,,
99,"",HOT,0,"LINESTRING(1528420 1027515,1528367.371 1024866.64)",2648,,
100,"",HOT,0,"LINESTRING(1525423 1005196,1525254.52 1004348.689)",863,,
101,"",HOT,0,"LINESTRING(1525423 1005196,1525470 1005621)",427,,
102,"",HOT,0,"LINESTRING(1525674 1003396,1525549.76 1002927.561)",484,,
103,"",HOT,0,"LINESTRING(1525674 1003396,1525170 1003456)",507,,
104,"",HOT,0,"LINESTRING(1526310 1010389,1528086.894 1010461.225)",1778,,
105,"",HOT,0,"LINESTRING(1526310 1010389,1526313.469 1008981.403)",1407,,
106,"",HOT,0,"LINESTRING(1525471 1007787,1525448 1006848)",939,,
107,"",HOT,0,"LINESTRING(1525471 1007787,1525499.773 1009039.572)",1252,,
108,"",HOT,0,"LINESTRING(1527361 1007748,1527417.053 1009359.197)",1612,,
109,"",HOT,0,"LINESTRING(1527361 1007748,1528043.404 1007723.345)",682,,
110,"",HOT,0,"LINESTRING(1527361 1007748,1527392.259 1006695.344)",1053,,
111,"",HOT,0,"LINESTRING(1530722.073 1010795.08,1530704.612 1007598.863)",3196,,
112,"",HOT,0,"LINESTRING(1530722.073 1010795.08,1530785.114 1014333.419)",3538,,
113,"",HOT,0,"LINESTRING(1529813 1006220,1529088.586 1006999.35)",1064,,
114,"",HOT,0,"LINESTRING(1508488 1001637,1508631.919 1001198.99)",461,,
115,"",HOT,0,"LINESTRING(1508488 1001637,1508485.469 1002263.197)",626,,
116,"",HOT,0,"LINESTRING(1528345 1003328,1528369.186 1002890.151)",438,,
117,"",HOT,0,"LINESTRING(1529627 1016182,1528166 1016221)",1461,,
118,"",HOT,0,"LINESTRING(1529627 1016182,1529573.242 1014297.733)",1885,,
119,"",HOT,0,"LINESTRING(1537870 1013607,1537475.844 1014323.652)",817,,
120,"",HOT,0,"LINESTRING(1537870 1013607,1538700 1013547)",832,,
121,"",HOT,0,"LINESTRING(1541263 1011698,1541280.484 1009186.036)",2512,,
122,"",HOT,0,"LINESTRING(1541263 1011698,1538746.257 1011710.929)",2516,,
123,"",HOT,0,"LINESTRING(1541263 1011698,1541386.08 1015255.958)",3560,,
124,"",HOT,0,"LINESTRING(1538323.502 1007384.282,1541280.484 1009186.036)",3462,,
125,"",HOT,0,"LINESTRING(1537052 1025750,1534289.407 1024965.057)",2871,,
126,"",HOT,0,"LINESTRING(1537052 1025750,1538929.54 1025410.799)",1907,,
127,"",HOT,0,"LINESTRING(1547583 1027882,1549509.019 1028098.244)",1938,,
128,"",HOT,0,"LINESTRING(1550594 1022186,1549417.161 1021407.168)",1411,,
129,"",HOT,0,"LINESTRING(1550372 1016409,1549316.334 1016315.382)",1059,,
130,"",HOT,0,"LINESTRING(1550657 1011827,1549249.116 1011694.124)",1414,,
131,"",HOT,0,"LINESTRING(1543746 1005428,1542551.912 1003728.689)",2076,,
132,"",HOT,0,"LINESTRING(1543746 1005428,1543857.34 1009974.247)",4547,,
133,"",HOT,0,"LINESTRING(1525964 1002456,1525308.886 1002474.781)",655,,
134,"",HOT,0,"LINESTRING(1525964 1002456,1525947.755 1002917.578)",461,,
135,"",HOT,0,"LINESTRING(1524945 1001756,1525279.708 1001733.626)",335,,
136,"",HOT,0,"LINESTRING(1524945 1001756,1525011.57 1001888.864)",148,,
137,"",HOT,0,"LINESTRING(1526576 1000136,1526582.342 1001105.549)",969,,
138,"",HOT,0,"LINESTRING(1526576 1000136,1525440.822 1000115.921)",1135,,
139,"",HOT,0,"LINESTRING(1526576 1000136,1526983.22 998741.375)",1452,,
140,"",HOT,0,"LINESTRING(1527987 999027,1527768.576 998459.375)",608,,
141,"",HOT,0,"LINESTRING(1529216 1002028,1529268.322 1002870.032)",843,,
142,"",HOT,0,"LINESTRING(1529216 1002028,1529205.521 1001076.858)",951,,
143,"",HOT,0,"LINESTRING(1530866 999978,1530986.15 1002725.86)",2750,,
144,"",HOT,0,"LINESTRING(1530866 999978,1530911.053 998414.813)",1563,,
145,"",HOT,0,"LINESTRING(1528828 1000599,1529205.521 1001076.858)",608,,
146,"",HOT,0,"LINESTRING(1528828 1000599,1528549 1000521)",289,,
147,"",HOT,0,"LINESTRING(1528828 1000599,1529632 999800)",1133,,
148,"",HOT,0,"LINESTRING(1529628 997957,1529792.09 998449)",518,,
149,"",HOT,0,"LINESTRING(1530919 997728,1530911.053 998414.813)",686,,
150,"",HOT,0,"LINESTRING(1530110 994476,1530118.445 993463.187)",1012,,
151,"",HOT,0,"LINESTRING(1534967 998908,1534135.817 998704.938)",855,,
152,"",HOT,0,"LINESTRING(1534967 998908,1535495.441 998665.625)",581,,
153,"",HOT,0,"LINESTRING(1534967 998908,1532967 998780)",2004,,
154,"",HOT,0,"LINESTRING(1545740 1001048,1543779.963 1000516.199)",2030,,
155,"",HOT,0,"LINESTRING(1544813 995175,1544673.363 998414.5)",3242,,
156,"",HOT,0,"LINESTRING(1544813 995175,1544842.607 992605.813)",2569,,
157,"",HOT,0,"LINESTRING(1534063.084 998195.062,1534135.817 998272.312)",106,,
158,"",HOT,0,"LINESTRING(1534063.084 998195.062,1533709.9 997965.125)",421,,
159,"",HOT,0,"LINESTRING(1532629 996816,1533102.459 997425.687)",771,,
160,"",HOT,0,"LINESTRING(1532629 996816,1533057.35 997143.313)",539,,
161,"",HOT,0,"LINESTRING(1536999 997172,1537639.448 998429.25)",1410,,
162,"",HOT,0,"LINESTRING(1536999 997172,1537033.299 995883.75)",1288,,
163,"",HOT,0,"LINESTRING(1536999 997172,1538346.989 997638.25)",1426,,
164,"",HOT,0,"LINESTRING(1533814 990698,1532974 990717)",840,,
165,"",HOT,0,"LINESTRING(1533814 990698,1533899.849 993406.875)",2710,,
166,"",HOT,0,"LINESTRING(1544886 989303,1544854.649 987925.25)",1378,,
167,"",HOT,0,"LINESTRING(1551650 1002132,1554381.104 1001890.772)",2741,,
168,"",HOT,0,"LINESTRING(1551650 1002132,1549114.283 1002645.088)",2587,,
169,"",HOT,0,"LINESTRING(1550957.567 993231.938,1548962.984 993154.125)",1996,,
170,"",HOT,0,"LINESTRING(1550957.567 993231.938,1553625 992985)",2678,,
171,"",HOT,0,"LINESTRING(1549142 981383,1548888 987816)",6438,,
172,"",HOT,0,"LINESTRING(1549142 981383,1543461 981291)",5681,,
173,"",HOT,0,"LINESTRING(1549142 981383,1555450.145 985011.5)",7277,,
174,"",HOT,0,"LINESTRING(1549142 981383,1548717.419 979925.313)",1518,,
175,"",HOT,0,"LINESTRING(1523795 1000815,1523807.302 1000985.663)",171,,
176,"",HOT,0,"LINESTRING(1523795 1000815,1523604.01 1000761.589)",198,,
177,"",HOT,0,"LINESTRING(1524505 1000835,1524701.253 1000990.863)",250,,
178,"",HOT,0,"LINESTRING(1524505 1000835,1524400.879 1000837.602)",104,,
179,"",HOT,0,"LINESTRING(1523896 999420,1523986.926 1000098.277)",684,,
180,"",HOT,0,"LINESTRING(1523896 999420,1524350.674 999417.688)",454,,
181,"",HOT,0,"LINESTRING(1523896 999420,1523599.023 999417.688)",296,,
182,"",HOT,0,"LINESTRING(1523896 999420,1524017.925 998450.875)",976,,
183,"",HOT,0,"LINESTRING(1524016 997682,1524296.985 997739.875)",286,,
184,"",HOT,0,"LINESTRING(1524016 997682,1523557.312 997704.5)",459,,
185,"",HOT,0,"LINESTRING(1524016 997682,1524048.073 997023.938)",658,,
186,"",HOT,0,"LINESTRING(1526554 997415,1525569 997743)",1038,,
187,"",HOT,0,"LINESTRING(1526554 997415,1526983.22 998226.25)",917,,
188,"",HOT,0,"LINESTRING(1526554 997415,1525532 997016)",1097,,
189,"",HOT,0,"LINESTRING(1527270 994835,1526415.594 994798.375)",855,,
190,"",HOT,0,"LINESTRING(1527270 994835,1527250.887 993468.813)",1366,,
191,"",HOT,0,"LINESTRING(1524669 994923,1525589.57 994798.375)",928,,
192,"",HOT,0,"LINESTRING(1524669 994923,1524656 993816)",1107,,
193,"",HOT,0,"LINESTRING(1524669 994923,1523506.968 995549.813)",1320,,
194,"",HOT,0,"LINESTRING(1524121 992095,1524656 993155)",1187,,
195,"",HOT,0,"LINESTRING(1524121 992095,1523380.122 992111.875)",741,,
196,"",HOT,0,"LINESTRING(1524121 992095,1523686 990507)",1646,,
197,"",HOT,0,"LINESTRING(1524230.643 989624.25,1523362 989600)",868,,
198,"",HOT,0,"LINESTRING(1524230.643 989624.25,1524229.031 988220.375)",1403,,
199,"",HOT,0,"LINESTRING(1524230.643 989624.25,1523686 990507)",1037,,
200,"",HOT,0,"LINESTRING(1526921 990858,1527489.4 990826.938)",569,,
201,"",HOT,0,"LINESTRING(1529873 988602,1530273.441 988137.188)",613,,
202,"",HOT,0,"LINESTRING(1524997 982880,1527513.232 982840.5)",2516,,
203,"",HOT,0,"LINESTRING(1524997 982880,1522442.055 982901.875)",2555,,
204,"",HOT,0,"LINESTRING(1530660 979992,1527469 980041)",3191,,
205,"",HOT,0,"LINESTRING(1530660 979992,1532828 979930)",2168,,
206,"",HOT,0,"LINESTRING(1535529 982777,1538172.162 982719.938)",2643,,
207,"",HOT,0,"LINESTRING(1535529 982777,1533667 982717)",1862,,
208,"",HOT,0,"LINESTRING(1540821 979579,1538131 979607)",2690,,
209,"",HOT,0,"LINESTRING(1540821 979579,1543432 979510)",2611,,
210,"",HOT,0,"LINESTRING(1525265 969027,1525214 971057)",2030,,
211,"",HOT,0,"LINESTRING(1525265 969027,1527286 968968)",2021,,
212,"",HOT,0,"LINESTRING(1533338 972945,1532722.92 973002.313)",617,,
213,"",HOT,0,"LINESTRING(1548642.553 971686.688,1549253 974597)",2973,,
214,"",HOT,0,"LINESTRING(1548642.553 971686.688,1548604.491 969924.938)",1762,,
215,"",HOT,0,"LINESTRING(1523285 1000764,1523318.069 1000995.071)",233,,
216,"",HOT,0,"LINESTRING(1523285 1000764,1523604.01 1000761.589)",319,,
217,"",HOT,0,"LINESTRING(1523285 1000764,1523106.381 1000783.384)",179,,
218,"",HOT,0,"LINESTRING(1523306 999424,1523599.023 999417.688)",293,,
219,"",HOT,0,"LINESTRING(1523306 999424,1523133.095 999440.563)",173,,
220,"",HOT,0,"LINESTRING(1522083 999061,1523133.095 999440.563)",1116,,
221,"",HOT,0,"LINESTRING(1522083 999061,1522821.795 999240.938)",760,,
222,"",HOT,0,"LINESTRING(1522083 999061,1522077.381 998442.375)",618,,
223,"",HOT,0,"LINESTRING(1522083 999061,1521245 999252)",859,,
224,"",HOT,0,"LINESTRING(1520116 997501,1520115.865 997029.938)",471,,
225,"",HOT,0,"LINESTRING(1520116 997501,1520505.494 998551.125)",1120,,
226,"",HOT,0,"LINESTRING(1522097 997292,1522137.046 997021.125)",273,,
227,"",HOT,0,"LINESTRING(1522097 997292,1522077.381 998442.375)",1150,,
228,"",HOT,0,"LINESTRING(1523342 997697,1523290.754 998448.75)",753,,
229,"",HOT,0,"LINESTRING(1523342 997697,1523087.002 997722.938)",256,,
230,"",HOT,0,"LINESTRING(1523342 997697,1523557.312 997704.5)",215,,
231,"",HOT,0,"LINESTRING(1523342 997697,1523316.885 997023.063)",674,,
232,"",HOT,0,"LINESTRING(1522173 994087,1523479 994212)",1311,,
233,"",HOT,0,"LINESTRING(1522173 994087,1521238.59 996178.5)",2290,,
234,"",HOT,0,"LINESTRING(1522173 994087,1522139.969 993302.188)",785,,
235,"",HOT,0,"LINESTRING(1521724 992769,1520567.833 992949.25)",1170,,
236,"",HOT,0,"LINESTRING(1521724 992769,1522558.585 992667.375)",840,,
237,"",HOT,0,"LINESTRING(1521724 992769,1521700.592 993211.25)",442,,
238,"",HOT,0,"LINESTRING(1518308 993869,1520626 994451)",2389,,
