node_id,name,x_coord,y_coord,z_coord,node_type,ctrl_type,zone_id,parent_node_id
1,,-84.10610676,40.74332242,,centroid,,1,
2,,-84.10430239,40.74331937,,centroid,,2,
3,,-84.10289421,40.7432835,,centroid,,3,
4,,-84.10297469,40.74070251,,centroid,,4,
5,,-84.10434144,40.74205634,,centroid,,5,
6,,-84.10614385,40.74197707,,centroid,,6,
7,,-84.10622248,40.74071076,,centroid,,7,
8,,-84.1043461,40.74071143,,centroid,,8,
9,,-84.10122766,40.73866766,,centroid,,9,
10,,-84.10445706,40.73928275,,centroid,,10,
11,,-84.10600881,40.73928921,,centroid,,11,
12,,-84.10622916,40.73791119,,centroid,,12,
13,,-84.10438468,40.73788399,,centroid,,13,
14,,-84.10611253,40.74804301,,centroid,,14,
15,,-84.1041052,40.74715116,,centroid,,15,
16,,-84.1114198,40.76490493,,centroid,,16,
17,,-84.10532109,40.76760307,,centroid,,17,
18,,-84.15058321,40.76676575,,centroid,,18,
19,,-84.10676907,40.7617596,,centroid,,19,
20,,-84.10167574,40.76174882,,centroid,,20,
21,,-84.10164752,40.75450362,,centroid,,21,
22,,-84.10696795,40.75514257,,centroid,,22,
23,,-84.11098802,40.75557936,,centroid,,23,
24,,-84.14097992,40.78741143,,centroid,,24,
25,,-84.11612229,40.7944625,,centroid,,25,
26,,-84.10039853,40.79553438,,centroid,,26,
27,,-84.08015801,40.79510273,,centroid,,27,
28,,-84.10138731,40.78110976,,centroid,,28,
29,,-84.11568121,40.78124827,,centroid,,29,
30,,-84.16508,40.80202816,,centroid,,30,
31,,-84.14195271,40.8018121,,centroid,,31,
32,,-84.12190187,40.80833341,,centroid,,32,
33,,-84.08944159,40.81018317,,centroid,,33,
34,,-84.09883678,40.74880266,,centroid,,34,
35,,-84.0978163,40.74387618,,centroid,,35,
36,,-84.09596782,40.76309364,,centroid,,36,
37,,-84.09882911,40.75591388,,centroid,,37,
38,,-84.0920073,40.75589851,,centroid,,38,
39,,-84.08007251,40.76442071,,centroid,,39,
40,,-84.08306355,40.75182446,,centroid,,40,
41,,-84.15969694,40.73819935,,centroid,,41,
42,,-84.0881764,40.74381891,,centroid,,42,
43,,-84.08436519,40.77914794,,centroid,,43,
44,,-84.05445327,40.77247614,,centroid,,44,
45,,-84.04209022,40.7673981,,centroid,,45,
46,,-84.05243051,40.75542436,,centroid,,46,
47,,-84.05816157,40.80575353,,centroid,,47,
48,,-84.02026602,40.81209549,,centroid,,48,
49,,-84.00904923,40.79660631,,centroid,,49,
50,,-84.00950209,40.78074596,,centroid,,50,
51,,-84.00819719,40.76818743,,centroid,,51,
52,,-84.03274565,40.75031109,,centroid,,52,
53,,-84.09671016,40.74131116,,centroid,,53,
54,,-84.10034127,40.73934106,,centroid,,54,
55,,-84.09435466,40.7349754,,centroid,,55,
56,,-84.08919475,40.73200085,,centroid,,56,
57,,-84.08495195,40.74029406,,centroid,,57,
58,,-84.07887058,40.73474873,,centroid,,58,
59,,-84.08626101,40.73635458,,centroid,,59,
60,,-84.08320821,40.72914415,,centroid,,60,
61,,-84.0785375,40.72857785,,centroid,,61,
62,,-84.08124986,40.71961632,,centroid,,62,
63,,-84.06401133,40.73200877,,centroid,,63,
64,,-84.02528459,40.73838611,,centroid,,64,
65,,-84.02826987,40.7222289,,centroid,,65,
66,,-84.067227,40.73000964,,centroid,,66,
67,,-84.07231277,40.72615742,,centroid,,67,
68,,-84.05657419,40.72734196,,centroid,,68,
69,,-84.06765584,40.70942756,,centroid,,69,
70,,-84.02764827,40.70612069,,centroid,,70,
71,,-84.00403088,40.74163239,,centroid,,71,
72,,-84.00599321,40.71718082,,centroid,,72,
73,,-84.01182486,40.68458606,,centroid,,73,
74,,-84.10442926,40.73670322,,centroid,,74,
75,,-84.1018695,40.73679268,,centroid,,75,
