From,To,NumMidPoints,Shape_Points
100140,100139,2,"1544109 1019536,1543009 1019552,"
102509,100139,12,"1540913 1019233,1541005 1019282,1541083 1019316,1541167 1019341,1541259 1019351,1541434 1019351,1541509 1019352,1541576 1019364,1541634 1019395,1541684 1019435,1541722 1019483,1541730 1019496,"
100138,100139,1,"1541057 1019596,"
100139,100140,2,"1543009 1019552,1544109 1019536,"
100182,100140,3,"1544199 1018150,1544212 1018163,1545405 1019390,"
104240,100141,15,"1553230 1030440,1552670 1030425,1552670 1030425,1552220 1030412,1551509 1030384,1551363 1030316,1551220 1030276,1551053 1030234,1550822 1030174,1550390 1030021,1550160 1029937,1550159 1029937,1550124 1029924,1549958 1029919,1549785 1029922,"
104009,100141,7,"1549478 1031813,1549478 1031813,1549469 1031620,1549443 1030273,1549458 1030024,1549474 1029933,1549476 1029928,"
103413,100141,1,"1547352 1029952,"
100198,100141,4,"1549505 1029242,1549505 1029509,1549511 1029693,1549510 1029846,"
100198,100145,18,"1549471 1027834,1549433 1027692,1549401 1027531,1549402 1027319,1549412 1027025,1549483 1026536,1549486 1026520,1549488 1026501,1549491 1026478,1549493 1026451,1549494 1026420,1549496 1026385,1549497 1026347,1549498 1026305,1549499 1026259,1549499 1026210,1549499 1026156,1549506 1025959,"
100147,100146,1,"1553057 1019411,"
100146,100147,1,"1553057 1019411,"
100149,100148,10,"1549543 1012975,1549543 1012975,1550341 1013392,1551409 1013904,1551875 1014129,1552956 1014523,1553360 1014692,1553855 1014884,1554273 1015095,1554502 1015213,"
104224,100148,4,"1556904 1015705,1556583 1015665,1556269 1015617,1555070 1015344,"
100153,100148,2,"1554552 1013122,1554561 1013864,"
100150,100149,13,"1545520 1010607,1545530 1010745,1545521 1010924,1545510 1011114,1545601 1011365,1545710 1011587,1545950 1011861,1546256 1012202,1546291 1012226,1546325 1012246,1546381 1012275,1546399 1012281,1548637 1012539,"
100148,100149,10,"1554502 1015213,1554273 1015095,1553855 1014884,1553360 1014692,1552956 1014523,1551875 1014129,1551409 1013904,1550341 1013392,1549543 1012975,1549543 1012975,"
100151,100150,6,"1548161 1010280,1547425 1010310,1546208 1010362,1545764 1010386,1545677 1010388,1545676 1010388,"
100152,100150,6,"1543859 1009974,1543988 1010016,1544573 1010193,1544823 1010267,1545086 1010331,1545223 1010359,"
100149,100150,13,"1548637 1012539,1546399 1012281,1546381 1012275,1546325 1012246,1546291 1012226,1546256 1012202,1545950 1011861,1545710 1011587,1545601 1011365,1545510 1011114,1545521 1010924,1545530 1010745,1545520 1010607,"
100153,100151,15,"1553377 1010363,1552918 1010406,1552770 1010388,1552501 1010391,1552367 1010383,1552276 1010372,1552029 1010354,1551787 1010328,1551523 1010283,1551226 1010221,1551035 1010188,1550843 1010167,1550724 1010165,1550572 1010161,1549296 1010230,"
100150,100151,6,"1545676 1010388,1545677 1010388,1545764 1010386,1546208 1010362,1547425 1010310,1548161 1010280,"
100125,100152,2,"1542373 1009504,1543315 1009800,"
100150,100152,6,"1545223 1010359,1545086 1010331,1544823 1010267,1544573 1010193,1543988 1010016,1543859 1009974,"
100151,100153,15,"1549296 1010230,1550572 1010161,1550724 1010165,1550843 1010167,1551035 1010188,1551226 1010221,1551523 1010283,1551787 1010328,1552029 1010354,1552276 1010372,1552367 1010383,1552501 1010391,1552770 1010388,1552918 1010406,1553377 1010363,"
100148,100153,2,"1554561 1013864,1554552 1013122,"
100115,100154,1,"1537602 998429,"
100116,100154,2,"1537974 998427,1537957 998427,"
100119,100156,2,"1545561 1003704,1546935 1003690,"
100164,100157,17,"1554340 999659,1554343 999755,1554348 999797,1554348 999797,1554353 999834,1554448 999882,1554521 999917,1554588 999933,1554630 1000191,1554671 1000719,1554684 1000847,1554590 1001007,1554453 1001171,1554423 1001215,1554423 1001216,1554405 1001242,1554375 1001309,"
100118,100161,1,"1543754 999424,"
100117,100162,1,"1546854 998404,"
100164,100162,1,"1552685 998281,"
100157,100164,17,"1554375 1001309,1554405 1001242,1554423 1001216,1554423 1001215,1554453 1001171,1554590 1001007,1554684 1000847,1554671 1000719,1554630 1000191,1554588 999933,1554521 999917,1554448 999882,1554353 999834,1554348 999797,1554348 999797,1554343 999755,1554340 999659,"
100162,100164,1,"1552685 998281,"
100708,100167,9,"1495362 1020149,1494852 1020095,1494725 1020072,1494594 1020041,1494568 1020033,1494567 1020032,1494286 1019942,1494266 1019936,1494079 1019880,"
100170,100168,14,"1518096 1006508,1518128 1006478,1518164 1006418,1518192 1006372,1518201 1006354,1518276 1006211,1518334 1006069,1518360 1005926,1518357 1005822,1518355 1005741,1518358 1005649,1518352 1005454,1518320 1005327,1518306 1005224,"
