From,To,NumMidPoints,Shape_Points
100653,100655,5,"1538389 995373,1541200 994148,1541320 994097,1541320 994096,1544167 992892,"
100655,100656,4,"1544939 992565,1546033 992126,1547716 991406,1548917 990844,"
100659,100656,6,"1552157 988929,1550984 989746,1550109 990345,1549949 990444,1549762 990522,1549426 990670,"
100662,100659,1,"1552829 987767,"
100656,100659,6,"1549426 990670,1549762 990522,1549949 990444,1550109 990345,1550984 989746,1552157 988929,"
100661,100660,1,"1554156 987444,"
100660,100661,1,"1554156 987444,"
104087,100661,1,"1556018 986200,"
100659,100662,1,"1552829 987767,"
100664,100663,1,"1544854 987925,"
100663,100664,1,"1544854 987925,"
100668,100667,1,"1543344 972013,"
100667,100668,1,"1543344 972013,"
103978,100669,7,"1548724 979676,1548711 979422,1548686 979378,1548639 979341,1548558 979280,1546385 977601,1546061 976848,"
100557,100671,10,"1510002 989721,1509711 989698,1509558 989666,1509443 989633,1509379 989614,1509172 989563,1508811 989553,1508804 989553,1508509 989551,1507339 989540,"
100519,100671,7,"1504298 989439,1504405 989468,1504513 989493,1504892 989498,1505537 989509,1506199 989520,1506497 989525,"
101833,100698,2,"1517304 998601,1517349 998601,"
101834,100698,10,"1519496 999688,1519343 999645,1519252 999571,1519214 999507,1519149 999374,1519073 999250,1518937 999134,1518801 998973,1518651 998794,1518489 998656,"
103920,100701,2,"1491154 1030525,1491789 1030517,"
103941,100702,7,"1496482 1033284,1496475 1032754,1496536 1032558,1496605 1032325,1496739 1031899,1496725 1031725,1496734 1031517,"
100704,100703,4,"1496755 1025152,1496733 1025243,1496694 1025374,1496696 1026129,"
100703,100704,4,"1496696 1026129,1496694 1025374,1496733 1025243,1496755 1025152,"
100226,100704,2,"1496705 1024442,1496836 1024855,"
103904,100706,2,"1488272 1024690,1491053 1022973,"
100708,100707,8,"1495277 1020326,1495162 1020402,1495153 1020407,1494641 1020746,1494374 1020910,1494260 1020979,1493930 1021182,1493807 1021258,"
100707,100708,8,"1493807 1021258,1493930 1021182,1494260 1020979,1494374 1020910,1494641 1020746,1495153 1020407,1495162 1020402,1495277 1020326,"
100167,100708,9,"1494079 1019880,1494266 1019936,1494286 1019942,1494567 1020032,1494568 1020033,1494594 1020041,1494725 1020072,1494852 1020095,1495362 1020149,"
101769,100714,2,"1497213 1019336,1497127 1019393,"
103916,100716,1,"1490600 1019948,"
100718,100716,1,"1491000 1014723,"
100716,100718,1,"1491000 1014723,"
100766,100720,1,"1491512 1006669,"
100722,100721,3,"1497573 1006935,1497344 1006824,1497013 1006702,"
100771,100722,2,"1498652 1007810,1498241 1007453,"
100721,100722,3,"1497013 1006702,1497344 1006824,1497573 1006935,"
100731,100722,5,"1497830 1002662,1497824 1004104,1497822 1005218,1497797 1006151,1497822 1006720,"
100724,100723,1,"1496629 1013839,"
100725,100724,1,"1498727 1009634,"
100723,100724,1,"1496629 1013839,"
100724,100725,1,"1498727 1009634,"
100771,100725,5,"1498806 1007911,1498839 1007924,1498840 1007925,1499026 1007998,1499026 1007999,"
100728,100726,1,"1500879 1003877,"
101753,100726,4,"1501804 1008294,1500045 1008328,1499874 1008332,1499860 1008327,"
100726,100728,1,"1500879 1003877,"
100737,100729,3,"1502505 1001286,1502499 1001286,1501760 1001297,"
100505,100729,2,"1500919 996867,1500904 999544,"
100732,100730,2,"1498475 1001325,1499175 1001320,"
100722,100731,5,"1497822 1006720,1497797 1006151,1497822 1005218,1497824 1004104,1497830 1002662,"
100732,100731,3,"1497812 1001751,1497825 1002431,1497829 1002624,"
100733,100732,11,"1496973 998832,1496992 998835,1497057 998845,1497063 998854,1497064 998855,1497156 999002,1497337 999341,1497696 1000011,1497745 1000086,1497768 1000158,1497782 1000266,"
100730,100732,2,"1499175 1001320,1498475 1001325,"
100731,100732,3,"1497829 1002624,1497825 1002431,1497812 1001751,"
100732,100733,11,"1497782 1000266,1497768 1000158,1497745 1000086,1497696 1000011,1497337 999341,1497156 999002,1497064 998855,1497063 998854,1497057 998845,1496992 998835,1496973 998832,"
100735,100733,5,"1493735 998787,1493828 998828,1493858 998844,1493911 998859,1494709 998854,"
100770,100733,5,"1496476 1001577,1496444 1001465,1496354 1001319,1496233 1001120,1496092 1000909,"
100733,100735,5,"1494709 998854,1493911 998859,1493858 998844,1493828 998828,1493735 998787,"
100564,100736,16,"1505965 996406,1505969 996570,1505943 996841,1505898 996980,1505862 997117,1505864 997478,1505848 997747,1505809 997975,1505807 997990,1505736 998292,1505576 998643,1505541 998754,1505542 998801,1505542 998802,1505550 999318,1505555 999486,"
100738,100736,2,"1505595 1000784,1505573 1000114,"
100729,100737,3,"1501760 1001297,1502499 1001286,1502505 1001286,"
100736,100738,2,"1505573 1000114,1505595 1000784,"
100739,100738,3,"1506632 1001226,1506544 1001227,1506544 1001227,"
100738,100739,3,"1506544 1001227,1506544 1001227,1506632 1001226,"
100745,100739,1,"1507070 1001643,"
100175,100741,1,"1509023 1001193,"
100739,100745,1,"1507070 1001643,"
101751,100750,3,"1504812 1007908,1505385 1007705,1505595 1007629,"
101756,100750,2,"1507092 1008888,1507088 1008533,"
100772,100752,12,"1496195 1008887,1495329 1009277,1495080 1009281,1494551 1009290,1494001 1009298,1493996 1009301,1493996 1009301,1493950 1009325,1493924 1009352,1493908 1009408,1493906 1009533,1493891 1009909,"
103664,100761,1,"1457763 997818,"
100720,100766,1,"1491512 1006669,"
100733,100770,5,"1496092 1000909,1496233 1001120,1496354 1001319,1496444 1001465,1496476 1001577,"
100722,100771,2,"1498241 1007453,1498652 1007810,"
100725,100771,5,"1499026 1007999,1499026 1007998,1498840 1007925,1498839 1007924,1498806 1007911,"
100752,100772,12,"1493891 1009909,1493906 1009533,1493908 1009408,1493924 1009352,1493950 1009325,1493996 1009301,1493996 1009301,1494001 1009298,1494551 1009290,1495080 1009281,1495329 1009277,1496195 1008887,"
101752,101751,2,"1503795 1008283,1504451 1008036,"
100750,101751,3,"1505595 1007629,1505385 1007705,1504812 1007908,"
101751,101752,2,"1504451 1008036,1503795 1008283,"
100726,101753,4,"1499860 1008327,1499874 1008332,1500045 1008328,1501804 1008294,"
101754,101753,1,"1501815 1008849,"
101753,101754,1,"1501815 1008849,"
100750,101756,2,"1507088 1008533,1507092 1008888,"
101788,101761,2,"1512077 1012572,1510404 1014312,"
101765,101763,1,"1502068 1017061,"
101873,101764,1,"1518538 1002941,"
101763,101765,1,"1502068 1017061,"
100225,101765,2,"1501682 1016971,1501855 1016859,"
101769,101767,5,"1497607 1019074,1497873 1018919,1498129 1018804,1498556 1018652,1499185 1018447,"
100225,101767,1,"1500166 1017947,"
100714,101769,2,"1497127 1019393,1497213 1019336,"
101767,101769,5,"1499185 1018447,1498556 1018652,1498129 1018804,1497873 1018919,1497607 1019074,"
101782,101774,1,"1508504 1020532,"
100228,101774,1,"1505055 1021769,"
101777,101776,4,"1503419 1029222,1503664 1027562,1503667 1027544,1503879 1026250,"
101776,101777,4,"1503879 1026250,1503667 1027544,1503664 1027562,1503419 1029222,"
103889,101777,4,"1503026 1035361,1503051 1034637,1503111 1033269,1503182 1031595,"
101779,101777,1,"1507128 1030354,"
101780,101779,1,"1507369 1030352,"
101777,101779,1,"1507128 1030354,"
103400,101780,1,"1512427 1030298,"
101779,101780,1,"1507369 1030352,"
101782,101781,1,"1509747 1024815,"
101781,101782,1,"1509747 1024815,"
101783,101782,1,"1509687 1019702,"
101774,101782,1,"1508504 1020532,"
101782,101783,1,"1509687 1019702,"
101784,101783,1,"1510165 1018365,"
101783,101784,1,"1510165 1018365,"
101904,101787,2,"1515535 1016836,1515087 1016842,"
101761,101788,2,"1510404 1014312,1512077 1012572,"
101791,101790,1,"1512127 1010168,"
101794,101790,2,"1512104 1009641,1512103 1009824,"
101790,101791,1,"1512127 1010168,"
101792,101791,2,"1513043 1009594,1512979 1009634,"
101791,101792,2,"1512979 1009634,1513043 1009594,"
100173,101793,9,"1516466 1007180,1516314 1007277,1516145 1007384,1516008 1007485,1515704 1007688,1515663 1007720,1515586 1007782,1515026 1008232,1514380 1008706,"
101897,101793,4,"1516952 1008951,1516553 1008959,1515719 1008975,1514169 1009005,"
101790,101794,2,"1512103 1009824,1512104 1009641,"
100311,101795,2,"1512083 1007811,1512084 1007873,"
100311,101796,1,"1512070 1006680,"
101799,101798,5,"1516063 1005767,1515285 1005764,1515284 1005764,1514795 1005762,1514611 1005771,"
104441,101798,3,"1512968 1006476,1513825 1005914,1514145 1005800,"
101798,101799,5,"1514611 1005771,1514795 1005762,1515284 1005764,1515285 1005764,1516063 1005767,"
101829,101821,2,"1512053 1000357,1512063 1000748,"
101821,101829,2,"1512063 1000748,1512053 1000357,"
101830,101829,4,"1512003 998705,1512002 998749,1512032 999608,1512032 999608,"
101829,101830,4,"1512032 999608,1512032 999608,1512002 998749,1512003 998705,"
100567,101830,5,"1512080 998094,1512049 998135,1512027 998181,1512014 998235,1512007 998546,"
101832,101831,6,"1514073 998654,1513860 998656,1513755 998653,1513619 998657,1513619 998657,1513073 998671,"
101831,101832,6,"1513073 998671,1513619 998657,1513619 998657,1513755 998653,1513860 998656,1514073 998654,"
101833,101832,4,"1515536 998608,1515104 998620,1514685 998632,1514516 998647,"
100698,101833,2,"1517349 998601,1517304 998601,"
101832,101833,4,"1514516 998647,1514685 998632,1515104 998620,1515536 998608,"
100698,101834,10,"1518489 998656,1518651 998794,1518801 998973,1518937 999134,1519073 999250,1519149 999374,1519214 999507,1519252 999571,1519343 999645,1519496 999688,"
101835,101834,7,"1519546 998683,1519605 998836,1519645 998939,1519663 999045,1519672 999278,1519672 999279,1519672 999283,"
100569,101835,3,"1519316 998291,1519436 998485,1519441 998495,"
101834,101835,7,"1519672 999283,1519672 999279,1519672 999278,1519663 999045,1519645 998939,1519605 998836,1519546 998683,"
101836,101835,3,"1520503 998551,1519688 998574,1519579 998578,"
101835,101836,3,"1519579 998578,1519688 998574,1520503 998551,"
100567,101837,4,"1512171 997950,1512029 997838,1512028 997837,1511945 997772,"
100566,101837,7,"1510609 996413,1510646 996483,1510692 996523,1510722 996549,1510921 996724,1510946 996751,1511732 997604,"
100572,101838,1,"1521266 998438,"
100192,101841,4,"1521888 999941,1521686 999839,1521563 999799,1521417 999791,"
100274,101844,1,"1522078 1001059,"
100287,101872,1,"1520061 1003065,"
101764,101873,1,"1518538 1002941,"
101877,101873,2,"1518236 1003533,1518236 1003352,"
100168,101877,8,"1518302 1005197,1518251 1005046,1518238 1004734,1518238 1004732,1518235 1004667,1518235 1004622,1518232 1003924,1518235 1003622,"
101873,101877,2,"1518236 1003352,1518236 1003533,"
101885,101884,1,"1517412 1006371,"
100173,101885,2,"1516979 1006834,1517195 1006692,"
101884,101885,1,"1517412 1006371,"
101886,101885,1,"1517582 1006437,"
101887,101886,1,"1517795 1006095,"
100169,101886,3,"1518749 1005977,1518667 1005977,1518523 1005900,"
101885,101886,1,"1517582 1006437,"
101886,101887,1,"1517795 1006095,"
101894,101893,1,"1520479 1005967,"
100169,101894,1,"1520101 1005969,"
101893,101894,1,"1520479 1005967,"
100171,101896,2,"1517411 1007015,1517414 1007245,"
101897,101896,1,"1517422 1007829,"
101793,101897,4,"1514169 1009005,1515719 1008975,1516553 1008959,1516952 1008951,"
100195,101897,3,"1517448 1010218,1517446 1010005,1517441 1009420,"
101896,101897,1,"1517422 1007829,"
101942,101899,6,"1522536 1008961,1522436 1008979,1522394 1008982,1522304 1009007,1522080 1009008,1521867 1008999,"
101900,101899,3,"1521427 1010036,1521428 1009679,1521430 1009332,"
101899,101900,3,"1521430 1009332,1521428 1009679,1521427 1010036,"
101901,101900,8,"1520763 1012170,1521136 1011552,1521192 1011438,1521218 1011359,1521382 1010924,1521442 1010720,1521442 1010632,1521426 1010353,"
101900,101901,8,"1521426 1010353,1521442 1010632,1521442 1010720,1521382 1010924,1521218 1011359,1521192 1011438,1521136 1011552,1520763 1012170,"
100268,101901,2,"1521370 1012945,1521368 1012945,"
101902,101901,2,"1520514 1012926,1520515 1012926,"
101903,101902,2,"1519128 1012897,1519129 1012897,"
101901,101902,2,"1520515 1012926,1520514 1012926,"
100195,101903,2,"1517470 1012612,1517472 1012824,"
100203,101903,14,"1514975 1013044,1515307 1013037,1515634 1013029,1515644 1013029,1515755 1013030,1515845 1012970,1515935 1012935,1516018 1012907,1516104 1012871,1516181 1012857,1516248 1012852,1516250 1012852,1516458 1012851,1516913 1012838,"
101902,101903,2,"1519129 1012897,1519128 1012897,"
100269,101904,2,"1517531 1015904,1517538 1016276,"
101787,101904,2,"1515087 1016842,1515535 1016836,"
101914,101910,3,"1525746 1030151,1523052 1030182,1518519 1030236,"
104041,101910,4,"1516153 1032383,1516456 1031446,1516639 1031171,1516913 1030808,"
102553,101912,13,"1517566 1029929,1517731 1029735,1517981 1029402,1518198 1029283,1518198 1029282,1518592 1029064,1518932 1028894,1519261 1028694,1519649 1028431,1520028 1028156,1520518 1027745,1521062 1027229,1521471 1026837,"
101921,101912,13,"1522979 1024235,1522983 1024668,1522980 1024784,1522981 1024882,1522974 1024924,1522968 1024956,1522961 1024991,1522925 1025128,1522862 1025328,1522779 1025510,1522650 1025696,1522453 1025910,1522130 1026222,"
101910,101914,3,"1518519 1030236,1523052 1030182,1525746 1030151,"
101921,101920,14,"1523051 1022925,1523114 1023021,1523164 1023136,1523292 1023226,1523407 1023324,1523407 1023324,1523452 1023362,1523625 1023502,1523807 1023672,1523975 1023857,1524137 1024118,1524292 1024424,1524389 1024619,1524476 1024821,"
101912,101921,13,"1522130 1026222,1522453 1025910,1522650 1025696,1522779 1025510,1522862 1025328,1522925 1025128,1522961 1024991,1522968 1024956,1522974 1024924,1522981 1024882,1522980 1024784,1522983 1024668,1522979 1024235,"
101920,101921,14,"1524476 1024821,1524389 1024619,1524292 1024424,1524137 1024118,1523975 1023857,1523807 1023672,1523625 1023502,1523452 1023362,1523407 1023324,1523407 1023324,1523292 1023226,1523164 1023136,1523114 1023021,1523051 1022925,"
101931,101930,1,"1522805 1012616,"
100268,101930,4,"1522383 1012967,1522384 1012967,1522554 1012971,1522597 1012972,"
101936,101931,2,"1522814 1012299,1522808 1012513,"
101930,101931,1,"1522805 1012616,"
101933,101932,12,"1527163 1014279,1526299 1014290,1526251 1014290,1526236 1014144,1526204 1014050,1526135 1013721,1526018 1013417,1525885 1013205,1525750 1013018,1525594 1012849,1525411 1012694,1525240 1012570,"
101935,101933,1,"1528094 1011335,"
101932,101933,12,"1525240 1012570,1525411 1012694,1525594 1012849,1525750 1013018,1525885 1013205,1526018 1013417,1526135 1013721,1526204 1014050,1526236 1014144,1526251 1014290,1526299 1014290,1527163 1014279,"
101933,101935,1,"1528094 1011335,"
101950,101935,1,"1528086 1010347,"
101931,101936,2,"1522808 1012513,1522814 1012299,"
101899,101942,6,"1521867 1008999,1522080 1009008,1522304 1009007,1522394 1008982,1522436 1008979,1522536 1008961,"
101949,101948,10,"1527263 1009282,1527081 1009201,1526829 1009090,1526761 1009060,1526751 1009056,1526612 1008996,1526556 1008995,1526554 1008995,1526480 1008994,1526337 1008981,"
101948,101949,10,"1526337 1008981,1526480 1008994,1526554 1008995,1526556 1008995,1526612 1008996,1526751 1009056,1526761 1009060,1526829 1009090,1527081 1009201,1527263 1009282,"
101935,101950,1,"1528086 1010347,"
101951,101950,5,"1528055 1008351,1528069 1009023,1528077 1009497,1528077 1009524,1528077 1009526,"
101963,101951,3,"1528034 1006913,1528034 1006914,1528041 1007255,"
101950,101951,5,"1528077 1009526,1528077 1009524,1528077 1009497,1528069 1009023,1528055 1008351,"
102519,101955,10,"1531975 1007035,1532006 1007197,1532029 1007256,1532053 1007312,1532081 1007362,1532116 1007409,1532159 1007453,1532203 1007487,1532255 1007519,1532315 1007543,"
101955,101956,6,"1532612 1007645,1532681 1007657,1532747 1007669,1532810 1007680,1532871 1007691,1532929 1007701,"
101958,101959,15,"1532381 1007720,1532350 1007722,1532318 1007722,1532285 1007721,1532251 1007719,1532217 1007716,1532181 1007712,1532145 1007706,1532108 1007700,1532070 1007692,1532032 1007683,1531992 1007673,1531952 1007662,1531911 1007650,1531869 1007636,"
102514,101959,12,"1531904 1009033,1531875 1008904,1531842 1008783,1531782 1008610,1531727 1008467,1531676 1008339,1531648 1008241,1531626 1008139,1531613 1008021,1531607 1007879,1531612 1007783,1531626 1007688,"
100219,101962,2,"1529909 1007158,1529710 1007122,"
101963,101962,3,"1528129 1006824,1528276 1006852,1528470 1006890,"
101951,101963,3,"1528041 1007255,1528034 1006914,1528034 1006913,"
101962,101963,3,"1528470 1006890,1528276 1006852,1528129 1006824,"
101964,101963,1,"1527719 1006761,"
101965,101964,2,"1526742 1006566,1527065 1006624,"
101963,101964,1,"1527719 1006761,"
101966,101965,2,"1525869 1006374,1526293 1006478,"
101964,101965,2,"1527065 1006624,1526742 1006566,"
101965,101966,2,"1526293 1006478,1525869 1006374,"
101974,101973,1,"1523152 1005977,"
101973,101974,1,"1523152 1005977,"
102002,102003,4,"1531622 1007384,1531693 1007350,1531736 1007311,1531772 1007264,"
101956,102004,7,"1532937 1007708,1532893 1007706,1532849 1007705,1532807 1007704,1532766 1007704,1532725 1007703,1532686 1007704,"
101954,102005,8,"1531859 1007510,1531954 1007527,1532047 1007544,1532136 1007560,1532223 1007575,1532306 1007590,1532387 1007605,1532465 1007619,"
104250,102500,1,"1554152 1030516,"
102507,102501,5,"1543673 1021635,1545525 1023172,1547257 1024633,1549538 1026541,1550076 1026980,"
102500,102506,5,"1550107 1027099,1549504 1026609,1548537 1025811,1547225 1024695,1544205 1022178,"
102509,102507,3,"1540191 1018718,1541337 1019661,1542237 1020427,"
100139,102507,8,"1541758 1019636,1541773 1019674,1541789 1019714,1541822 1019808,1541849 1019900,1541887 1019995,1541937 1020074,1541994 1020145,"
100138,102508,7,"1540411 1019251,1540395 1019172,1540379 1019115,1540363 1019066,1540337 1019017,1540299 1018969,1540234 1018910,"
102506,102508,2,"1542186 1020488,1541165 1019618,"
102513,102509,4,"1533475 1013090,1535085 1014448,1536257 1015428,1538775 1017540,"
102520,102510,1,"1531765 998509,"
102523,102511,1,"1531798 997003,"
104438,102511,22,"1532127 998425,1532168 998406,1532219 998375,1532261 998339,1532294 998290,1532319 998224,1532334 998151,1532340 998084,1532336 998013,1532325 997949,1532313 997891,1532285 997823,1532246 997761,1532200 997710,1532150 997678,1532085 997660,1532028 997659,1531973 997669,1531917 997697,1531871 997736,1531837 997785,1531826 997828,"
102508,102512,5,"1538758 1017623,1537446 1016551,1536124 1015413,1534931 1014443,1533451 1013171,"
102515,102513,59,"1531989 1010374,1531989 1010439,1531990 1010502,1531991 1010564,1531994 1010625,1531997 1010685,1532002 1010743,1532007 1010801,1532014 1010858,1532021 1010913,1532030 1010967,1532039 1011021,1532050 1011072,1532061 1011123,1532074 1011173,1532087 1011222,1532101 1011271,1532115 1011318,1532130 1011366,1532145 1011412,1532161 1011458,1532178 1011503,1532195 1011548,1532213 1011592,1532231 1011636,1532250 1011678,1532269 1011721,1532289 1011763,1532309 1011804,1532330 1011844,1532352 1011884,1532374 1011924,1532397 1011963,1532420 1012002,1532444 1012041,1532469 1012080,1532494 1012118,1532520 1012156,1532546 1012193,1532573 1012230,1532600 1012267,1532629 1012304,1532657 1012340,1532687 1012376,1532717 1012411,1532748 1012447,1532781 1012483,1532815 1012520,1532852 1012557,1532890 1012594,1532929 1012633,1532971 1012671,1533014 1012710,1533059 1012750,1533106 1012790,1533154 1012831,1533204 1012872,1533256 1012914,1533309 1012956,"
102512,102514,60,"1533277 1013024,1533219 1012980,1533164 1012937,1533110 1012894,1533058 1012852,1533008 1012810,1532960 1012768,1532913 1012727,1532869 1012686,1532826 1012645,1532786 1012605,1532747 1012565,1532710 1012525,1532675 1012486,1532642 1012447,1532610 1012408,1532579 1012369,1532549 1012330,1532519 1012290,1532491 1012251,1532463 1012211,1532436 1012171,1532410 1012131,1532384 1012091,1532359 1012051,1532336 1012010,1532313 1011970,1532290 1011929,1532269 1011888,1532248 1011846,1532228 1011805,1532209 1011763,1532190 1011721,1532173 1011677,1532155 1011634,1532139 1011590,1532123 1011545,1532108 1011499,1532094 1011454,1532081 1011407,1532068 1011360,1532055 1011313,1532044 1011265,1532033 1011217,1532023 1011168,1532013 1011118,1532004 1011067,1531996 1011015,1531989 1010962,1531982 1010908,1531975 1010853,1531970 1010797,1531964 1010739,1531960 1010681,1531956 1010621,1531952 1010561,1531950 1010499,1531947 1010436,1531946 1010373,1531945 1010308,"
102004,102515,15,"1532627 1008356,1532631 1008447,1532626 1008534,1532616 1008605,1532601 1008657,1532572 1008730,1532528 1008808,1532470 1008890,1532360 1009014,1532278 1009104,1532206 1009191,1532140 1009281,1532090 1009361,1532062 1009427,1532038 1009504,"
102517,102515,2,"1531986 1009515,1532000 1010264,"
102514,102516,1,"1531945 1009141,"
102003,102518,4,"1531806 1007209,1531834 1007155,1531853 1007100,1531867 1007050,"
102521,102519,4,"1531839 1001133,1531866 1002797,1531895 1004713,1531910 1005569,"
102518,102520,3,"1531860 1004722,1531827 1002799,1531782 1001140,"
100112,102521,11,"1532063 998941,1532053 999040,1532044 999074,1532023 999111,1531992 999147,1531933 999205,1531900 999240,1531876 999273,1531855 999309,1531840 999349,1531830 999590,"
102511,102521,2,"1531797 998519,1531798 999566,"
102510,102522,1,"1531745 997487,"
102542,102522,12,"1531353 997924,1531360 997866,1531375 997827,1531396 997798,1531419 997772,1531447 997755,1531518 997720,1531595 997686,1531635 997657,1531663 997629,1531684 997595,1531693 997567,"
102525,102523,5,"1531816 993713,1531807 994412,1531790 996018,1531790 996027,1531789 996049,"
102522,102524,1,"1531732 995878,"
104444,102525,16,"1532274 993400,1532272 993300,1532263 993242,1532249 993200,1532223 993162,1532191 993129,1532153 993099,1532116 993079,1532080 993073,1532031 993066,1531979 993072,1531938 993082,1531900 993103,1531864 993130,1531843 993170,1531830 993221,"
104443,102526,14,"1531237 993618,1531240 993688,1531242 993743,1531252 993790,1531272 993839,1531304 993882,1531346 993914,1531392 993941,1531443 993953,1531497 993955,1531556 993944,1531611 993915,1531654 993875,1531688 993816,"
102524,102526,1,"1531735 993756,"
102529,102527,15,"1531641 988291,1531655 988332,1531667 988378,1531679 988431,1531690 988489,1531699 988552,1531708 988622,1531715 988696,1531722 988777,1531728 988862,1531732 988954,1531736 989051,1531739 989154,1531740 989262,1531741 989376,"
102526,102528,16,"1531740 993489,1531659 989391,1531661 989285,1531662 989184,1531661 989087,1531658 988994,1531654 988905,1531649 988820,1531643 988740,1531634 988664,1531625 988592,1531614 988524,1531601 988461,1531587 988401,1531572 988346,1531555 988295,"
102531,102529,50,"1528888 986944,1528983 986942,1529074 986940,1529159 986939,1529239 986937,1529315 986936,1529386 986935,1529456 986934,1529523 986934,1529588 986934,1529651 986935,1529711 986937,1529769 986939,1529825 986941,1529879 986945,1529931 986948,1529980 986952,1530028 986957,1530072 986962,1530115 986967,1530156 986972,1530214 986987,1530274 987003,1530333 987021,1530392 987041,1530451 987063,1530510 987087,1530568 987114,1530626 987143,1530683 987174,1530740 987207,1530797 987243,1530854 987280,1530910 987320,1530966 987362,1531022 987406,1531076 987452,1531128 987500,1531179 987549,1531227 987599,1531273 987652,1531318 987705,1531360 987760,1531400 987817,1531438 987875,1531474 987934,1531509 987996,1531541 988058,1531571 988122,1531599 988188,"
102528,102530,62,"1531511 988196,1531487 988145,1531463 988095,1531439 988047,1531414 988001,1531389 987956,1531364 987912,1531338 987870,1531312 987830,1531287 987791,1531260 987754,1531234 987718,1531208 987684,1531181 987651,1531154 987619,1531126 987589,1531098 987560,1531068 987531,1531038 987503,1531006 987476,1530974 987449,1530941 987423,1530907 987398,1530872 987373,1530836 987349,1530799 987326,1530761 987303,1530722 987281,1530683 987261,1530642 987240,1530601 987221,1530562 987202,1530524 987185,1530486 987168,1530450 987153,1530415 987139,1530381 987126,1530348 987114,1530316 987103,1530285 987093,1530256 987084,1530227 987077,1530199 987070,1530173 987064,1530148 987060,1530111 987053,1530069 987047,1530024 987040,1529975 987035,1529922 987031,1529866 987026,1529806 987023,1529742 987020,1529675 987017,1529604 987016,1529529 987014,1529451 987014,1529369 987014,1529283 987015,1529194 987016,1529102 987017,1529009 987019,"
102533,102531,9,"1527655 986968,1527801 986965,1527942 986963,1528078 986960,1528209 986957,1528334 986955,1528455 986952,1528571 986950,1528682 986948,"
100618,102531,1,"1528201 986913,"
100616,102532,5,"1527523 987189,1527470 987179,1527258 987119,1527185 987104,1527119 987092,"
102530,102532,12,"1528818 987022,1528720 987024,1528620 987026,1528519 987027,1528416 987029,1528313 987031,1528207 987033,1528100 987035,1527991 987037,1527880 987039,1527769 987041,1527655 987043,"
102535,102533,31,"1522497 986954,1522525 986959,1522555 986964,1522585 986968,1522617 986972,1522650 986975,1522683 986978,1522718 986981,1522754 986983,1522791 986985,1522829 986987,1522868 986988,1522908 986989,1522949 986990,1522992 986990,1523035 986990,1523079 986990,1523124 986989,1523170 986989,1523216 986989,1523264 986989,1523312 986989,1523362 986988,1523412 986988,1523463 986988,1523515 986988,1523567 986988,1523621 986988,1523676 986987,1523731 986988,1526268 986975,"
102532,102534,31,"1526269 987055,1523742 987068,1523707 987069,1523669 987068,1523631 987068,1523592 987068,1523551 987068,1523510 987068,1523467 987068,1523423 987068,1523377 987068,1523331 987068,1523283 987068,1523234 987068,1523184 987068,1523133 987068,1523080 987069,1523028 987069,1522977 987068,1522928 987067,1522880 987066,1522833 987063,1522788 987061,1522745 987058,1522703 987054,1522662 987050,1522622 987045,1522585 987040,1522549 987035,1522513 987028,1522480 987022,"
102537,102535,52,"1519426 984034,1519850 984523,1520179 984892,1520381 985108,1520534 985299,1520741 985535,1521002 985823,1521212 986076,1521247 986120,1521281 986162,1521313 986203,1521345 986241,1521374 986277,1521403 986312,1521431 986345,1521457 986375,1521482 986403,1521506 986430,1521529 986454,1521551 986477,1521571 986497,1521590 986516,1521608 986532,1521626 986547,1521644 986563,1521663 986578,1521683 986594,1521703 986609,1521724 986625,1521746 986641,1521769 986656,1521792 986672,1521816 986688,1521841 986704,1521866 986719,1521892 986735,1521919 986751,1521946 986767,1521975 986782,1522004 986797,1522034 986812,1522065 986826,1522097 986840,1522130 986853,1522164 986865,1522199 986878,1522234 986889,1522271 986900,1522309 986911,1522347 986921,1522387 986931,1522427 986940,"
102534,102536,52,"1522413 987008,1522380 987000,1522347 986992,1522317 986985,1522286 986977,1522258 986969,1522230 986962,1522203 986954,1522177 986946,1522153 986938,1522129 986930,1522107 986922,1522086 986914,1522066 986906,1522047 986898,1522027 986889,1522008 986880,1521987 986869,1521965 986858,1521943 986846,1521919 986833,1521895 986819,1521870 986804,1521845 986788,1521818 986771,1521790 986754,1521762 986735,1521733 986715,1521703 986695,1521672 986674,1521640 986651,1521608 986626,1521575 986599,1521541 986569,1521507 986538,1521473 986504,1521437 986468,1521401 986430,1521365 986390,1521327 986348,1521289 986304,1521251 986257,1521211 986208,1521172 986158,1521131 986104,1520942 985875,1520682 985589,1520473 985350,1520321 985161,1520120 984946,1519790 984576,1519366 984087,"
102539,102537,21,"1517722 981996,1517750 982033,1517777 982068,1517804 982102,1517830 982135,1517855 982167,1517881 982198,1517907 982231,1517934 982263,1517961 982297,1517989 982332,1518018 982367,1518047 982403,1518076 982439,1518107 982477,1518138 982515,1518169 982554,1518201 982594,1518233 982634,1518267 982675,1518302 982717,"
100549,102537,2,"1518639 983001,1518679 983074,"
102536,102538,13,"1518196 982703,1518117 982606,1518040 982513,1517967 982424,1517898 982338,1517832 982256,1517770 982179,1517711 982105,1517657 982035,1517606 981969,1517558 981906,1517514 981848,1517474 981793,"
100548,102538,2,"1517715 982230,1517685 982166,"
