index,link_id,matrix_ab,matrix_ba,matrix_tot
1499,1499.000000,25.000000,0.000000,25.000000
1500,1500.000000,168.000000,0.000000,168.000000
1501,1501.000000,805.000000,0.000000,805.000000
1502,1502.000000,121.000000,0.000000,121.000000
1503,1503.000000,12.000000,0.000000,12.000000
1504,1504.000000,83.000000,0.000000,83.000000
1505,1505.000000,755.000000,0.000000,755.000000
1506,1506.000000,560.000000,0.000000,560.000000
1507,1507.000000,674.000000,0.000000,674.000000
1508,1508.000000,564.000000,0.000000,564.000000
1509,1509.000000,159.000000,0.000000,159.000000
1510,1510.000000,199.000000,0.000000,199.000000
1511,1511.000000,59.000000,0.000000,59.000000
1512,1512.000000,24.000000,0.000000,24.000000
1513,1513.000000,622.000000,0.000000,622.000000
1514,1514.000000,564.000000,0.000000,564.000000
1515,1515.000000,0.000000,0.000000,0.000000
1516,1516.000000,0.000000,0.000000,0.000000
1517,1517.000000,6.000000,0.000000,6.000000
1518,1518.000000,190.000000,0.000000,190.000000
1519,1519.000000,149.333333,0.000000,149.333333
1520,1520.000000,220.000000,0.000000,220.000000
1521,1521.000000,56.000000,0.000000,56.000000
1522,1522.000000,743.000000,0.000000,743.000000
1523,1523.000000,838.000000,0.000000,838.000000
1524,1524.000000,176.000000,0.000000,176.000000
1525,1525.000000,190.000000,0.000000,190.000000
1526,1526.000000,135.000000,0.000000,135.000000
1527,1527.000000,206.000000,0.000000,206.000000
1528,1528.000000,7.000000,0.000000,7.000000
1529,1529.000000,258.000000,0.000000,258.000000
1530,1530.000000,447.666667,0.000000,447.666667
1531,1531.000000,0.000000,0.000000,0.000000
1532,1532.000000,98.666667,0.000000,98.666667
1533,1533.000000,33.000000,0.000000,33.000000
1534,1534.000000,160.000000,0.000000,160.000000
1535,1535.000000,333.000000,0.000000,333.000000
1536,1536.000000,79.000000,0.000000,79.000000
1537,1537.000000,6.000000,0.000000,6.000000
1538,1538.000000,679.000000,0.000000,679.000000
1539,1539.000000,182.000000,0.000000,182.000000
1540,1540.000000,6.000000,0.000000,6.000000
1541,1541.000000,7.000000,0.000000,7.000000
1542,1542.000000,72.000000,0.000000,72.000000
1543,1543.000000,325.000000,0.000000,325.000000
1544,1544.000000,115.000000,0.000000,115.000000
1545,1545.000000,13.000000,0.000000,13.000000
1546,1546.000000,64.000000,0.000000,64.000000
1547,1547.000000,20.000000,0.000000,20.000000
1548,1548.000000,217.000000,0.000000,217.000000
1549,1549.000000,805.000000,0.000000,805.000000
1550,1550.000000,260.000000,0.000000,260.000000
1551,1551.000000,84.000000,0.000000,84.000000
1552,1552.000000,0.000000,0.000000,0.000000
1553,1553.000000,0.000000,0.000000,0.000000
1554,1554.000000,93.000000,0.000000,93.000000
1555,1555.000000,128.000000,0.000000,128.000000
1556,1556.000000,17.000000,0.000000,17.000000
1557,1557.000000,22.000000,0.000000,22.000000
1558,1558.000000,48.000000,0.000000,48.000000
1559,1559.000000,148.000000,0.000000,148.000000
1560,1560.000000,31.000000,0.000000,31.000000
1561,1561.000000,23.000000,0.000000,23.000000
1562,1562.000000,38.000000,0.000000,38.000000
1563,1563.000000,0.000000,0.000000,0.000000
1564,1564.000000,30.000000,0.000000,30.000000
1565,1565.000000,5.000000,0.000000,5.000000
1566,1566.000000,0.000000,0.000000,0.000000
1567,1567.000000,51.333333,0.000000,51.333333
1568,1568.000000,106.000000,0.000000,106.000000
1569,1569.000000,29.000000,0.000000,29.000000
1570,1570.000000,67.000000,0.000000,67.000000
1571,1571.000000,4.000000,0.000000,4.000000
1572,1572.000000,37.000000,0.000000,37.000000
1573,1573.000000,27.000000,0.000000,27.000000
1574,1574.000000,4.000000,0.000000,4.000000
1575,1575.000000,102.000000,0.000000,102.000000
1576,1576.000000,75.000000,0.000000,75.000000
1577,1577.000000,10.000000,0.000000,10.000000
1578,1578.000000,12.000000,0.000000,12.000000
1579,1579.000000,77.000000,0.000000,77.000000
1580,1580.000000,0.000000,0.000000,0.000000
1581,1581.000000,11.000000,0.000000,11.000000
1582,1582.000000,18.000000,0.000000,18.000000
1583,1583.000000,54.000000,0.000000,54.000000
1584,1584.000000,216.000000,0.000000,216.000000
1585,1585.000000,109.000000,0.000000,109.000000
1586,1586.000000,0.000000,0.000000,0.000000
1587,1587.000000,87.000000,0.000000,87.000000
1588,1588.000000,106.000000,0.000000,106.000000
1589,1589.000000,19.000000,0.000000,19.000000
1590,1590.000000,76.000000,0.000000,76.000000
1591,1591.000000,95.000000,0.000000,95.000000
1592,1592.000000,152.000000,0.000000,152.000000
1593,1593.000000,54.000000,0.000000,54.000000
1594,1594.000000,27.000000,0.000000,27.000000
1595,1595.000000,70.000000,0.000000,70.000000
1596,1596.000000,303.000000,0.000000,303.000000
1597,1597.000000,131.000000,0.000000,131.000000
1598,1598.000000,472.666667,0.000000,472.666667
1599,1599.000000,65.000000,0.000000,65.000000
1600,1600.000000,3.000000,0.000000,3.000000
1601,1601.000000,213.000000,0.000000,213.000000
1602,1602.000000,65.000000,0.000000,65.000000
1603,1603.000000,89.000000,0.000000,89.000000
1604,1604.000000,6.000000,0.000000,6.000000
1605,1605.000000,28.000000,0.000000,28.000000
1606,1606.000000,98.000000,0.000000,98.000000
1607,1607.000000,132.000000,0.000000,132.000000
1608,1608.000000,54.000000,0.000000,54.000000
1609,1609.000000,72.000000,0.000000,72.000000
1610,1610.000000,1.000000,0.000000,1.000000
1611,1611.000000,2.000000,0.000000,2.000000
1612,1612.000000,32.000000,0.000000,32.000000
1613,1613.000000,59.000000,0.000000,59.000000
1614,1614.000000,10.000000,0.000000,10.000000
1615,1615.000000,107.666667,0.000000,107.666667
1616,1616.000000,68.000000,0.000000,68.000000
1617,1617.000000,206.000000,0.000000,206.000000
1618,1618.000000,10.000000,0.000000,10.000000
1619,1619.000000,11.000000,0.000000,11.000000
1620,1620.000000,71.000000,0.000000,71.000000
1621,1621.000000,22.000000,0.000000,22.000000
1622,1622.000000,31.000000,0.000000,31.000000
1623,1623.000000,5.000000,0.000000,5.000000
1624,1624.000000,0.000000,0.000000,0.000000
1625,1625.000000,13.000000,0.000000,13.000000
1626,1626.000000,43.000000,0.000000,43.000000
1627,1627.000000,18.000000,0.000000,18.000000
1628,1628.000000,3.000000,0.000000,3.000000
1629,1629.000000,249.000000,0.000000,249.000000
1630,1630.000000,50.000000,0.000000,50.000000
1631,1631.000000,31.000000,0.000000,31.000000
1632,1632.000000,0.000000,0.000000,0.000000
1633,1633.000000,268.000000,0.000000,268.000000
1634,1634.000000,350.333333,0.000000,350.333333
1635,1635.000000,15.000000,0.000000,15.000000
1636,1636.000000,206.000000,0.000000,206.000000
1637,1637.000000,136.000000,0.000000,136.000000
1638,1638.000000,30.000000,0.000000,30.000000
1639,1639.000000,35.000000,0.000000,35.000000
1640,1640.000000,484.000000,0.000000,484.000000
1641,1641.000000,536.000000,0.000000,536.000000
1642,1642.000000,6.000000,0.000000,6.000000
1643,1643.000000,7.000000,0.000000,7.000000
1644,1644.000000,1.000000,0.000000,1.000000
1645,1645.000000,6.000000,0.000000,6.000000
1646,1646.000000,22.000000,0.000000,22.000000
1647,1647.000000,7.000000,0.000000,7.000000
1648,1648.000000,16.000000,0.000000,16.000000
1649,1649.000000,627.666667,0.000000,627.666667
1650,1650.000000,734.000000,0.000000,734.000000
1651,1651.000000,474.000000,0.000000,474.000000
1652,1652.000000,113.666667,0.000000,113.666667
1653,1653.000000,9.000000,0.000000,9.000000
1654,1654.000000,10.000000,0.000000,10.000000
1655,1655.000000,44.666667,0.000000,44.666667
1656,1656.000000,209.000000,0.000000,209.000000
1657,1657.000000,635.000000,0.000000,635.000000
1658,1658.000000,216.000000,0.000000,216.000000
1659,1659.000000,104.000000,0.000000,104.000000
1660,1660.000000,33.000000,0.000000,33.000000
1661,1661.000000,655.333333,0.000000,655.333333
1662,1662.000000,177.000000,0.000000,177.000000
1663,1663.000000,29.000000,0.000000,29.000000
1664,1664.000000,11.000000,0.000000,11.000000
1665,1665.000000,123.000000,0.000000,123.000000
1666,1666.000000,101.000000,0.000000,101.000000
