zone_id,name,boundary,super_zone
2.50174E+11,356703_1,"MULTIPOLYGON (((322186.225095851 4697892.85190699,322229.782440448 4697944.63468403,322262.727007251 4697974.13114338,322281.065387198 4697995.88782096,322300.169258188 4698021.8474775,322323.801024899 4698051.02550009,322343.474931156 4698076.74853052,322351.338649369 4698088.10461802,322376.285301743 4698126.91644688,322385.113309851 4698140.58148387,322400.499207155 4698169.30268996,322406.175418243 4698178.82547236,322426.715818408 4698212.74925493,322454.102071749 4698269.83343118,322455.813032557 4698311.23617694,322462.963364069 4698349.61166597,322467.482874719 4698371.94221551,322467.817200676 4698375.3783118,322467.76835056 4698379.93530555,322472.148237052 4698406.49181046,322474.866902164 4698422.75675626,322484.266189297 4698445.96334325,322493.032144066 4698473.40843889,322502.198141676 4698500.39891396,322510.564322561 4698525.07628772,322516.127825758 4698546.38028992,322518.509692248 4698555.87573601,322563.515437787 4698554.73232994,322582.569468591 4698556.13730418,322599.640371371 4698557.25934842,322623.034841641 4698560.99874521,322665.698557117 4698568.13803639,322707.681406366 4698574.40593881,322728.656437759 4698573.65134888,322751.623588336 4698570.29060921,322781.407920635 4698569.5348726,322811.662792502 4698571.10075532,322830.481126382 4698572.95684079,322850.646859554 4698576.00107564,322859.821854852 4698577.43512276,322882.259100753 4698585.64427365,322887.677493574 4698588.28476997,322909.048516677 4698593.40980322,322920.577896999 4698596.78431667,322931.236642783 4698598.2919551,322939.04449105 4698597.76068168,322949.082907107 4698594.28387319,322963.49504962 4698568.47312157,322985.636284374 4698526.02144011,322994.117059532 4698509.80589832,322998.868689649 4698499.12952181,323024.256455624 4698441.81737498,323030.65514705 4698424.6546029,323035.164269657 4698407.65082422,323035.898410428 4698384.6313358,323032.737990503 4698357.37701107,323026.779342463 4698333.41592554,323014.131338778 4698305.40193732,323001.375708859 4698289.39115986,322988.786036582 4698279.93200782,322932.525948698 4698239.9117657,322924.699300159 4698233.22099448,322909.553720735 4698220.38218263,322864.502090218 4698184.07847233,322838.783209425 4698163.39647752,322830.702315506 4698149.93420213,322779.987732166 4698091.66261179,322731.693461838 4698044.44149452,322710.96480256 4698022.52214655,322692.893910221 4698004.75779412,322676.726187184 4697990.61199399,322626.490591787 4697938.3294861,322654.782179517 4697904.60991049,322677.191219867 4697875.92885526,322696.828098194 4697848.31827474,322719.14958099 4697819.41736717,322732.083234074 4697800.19954983,322759.150664671 4697763.62251952,322774.252766994 4697742.23859007,322792.291954871 4697719.78016535,322800.533166188 4697713.57091107,322807.902407332 4697711.93951568,322825.737787179 4697687.93074104,322818.366325211 4697686.2287084,322801.253330236 4697686.77381583,322779.857353898 4697693.76118361,322766.035874252 4697694.22289071,322754.388267712 4697692.74051343,322735.676955418 4697682.21477572,322733.733628117 4697680.2640004,322714.805294073 4697661.18792395,322705.076745198 4697654.21226947,322682.775012582 4697648.22239485,322672.758975038 4697646.14316422,322656.531863616 4697642.66597572,322615.749561498 4697635.25644123,322588.156369929 4697625.17880568,322572.461599887 4697610.2433767,322565.482705871 4697601.30911538,322560.044212212 4697594.66917009,322553.556706649 4697582.38896996,322514.140232121 4697602.83535944,322521.140778521 4697619.10266005,322505.022079267 4697629.62364291,322488.877089048 4697645.59000519,322470.601150653 4697661.94390085,322443.264725032 4697681.41710602,322417.282619022 4697695.85579287,322418.763542715 4697718.48578003,322388.175943912 4697736.3751198,322372.928574769 4697748.76325476,322363.52080162 4697760.89183726,322356.144410926 4697775.19110207,322351.869528169 4697788.41147183,322345.468934088 4697805.46383778,322339.17364847 4697820.18009982,322328.582970437 4697831.1165443,322311.108937076 4697840.11686472,322297.763738599 4697846.34543068,322272.909485454 4697856.53361446,322204.867800579 4697884.48821292,322186.225095851 4697892.85190699)))",
2.50174E+11,356701_3,"MULTIPOLYGON (((322870.073539187 4698131.0462197,322921.786495381 4698102.06746519,322952.444679123 4698083.73418196,322984.335824301 4698058.81399315,322994.273126146 4698067.56255093,323034.507490897 4698024.20830245,323040.658350032 4698026.49703552,323048.199585407 4698028.41721081,323058.485737152 4698024.93433626,323088.121979672 4698011.73887483,323090.812031707 4698010.67071717,323165.658019683 4697965.21864716,323268.794507361 4697905.38456678,323325.905857846 4697871.60560477,323386.908505264 4697835.39535726,323445.732139319 4697800.90746665,323501.559432331 4697768.38475056,323557.049671958 4697735.53767777,323643.36385103 4697684.24572961,323587.641167084 4697629.65060643,323522.461048965 4697562.51654503,323471.723408363 4697513.0187429,323410.762273565 4697450.00139334,323379.202657533 4697419.79799377,323339.311301618 4697463.91903564,323239.777759861 4697464.65839648,323203.289567754 4697464.24815625,323193.914123885 4697464.70761315,323043.020299037 4697703.64726508,323026.384083305 4697729.51403287,323017.177725661 4697749.63687165,322985.198560133 4697819.89409964,322968.665596104 4697856.31438046,322941.152023661 4697933.79233882,322921.453083671 4697997.96074689,322900.123188787 4698075.72666977,322830.702315506 4698149.93420213,322870.073539187 4698131.0462197)))",
2.50174E+11,356400_2,"MULTIPOLYGON (((322525.04173042 4698589.37788293,322530.301979173 4698627.91256334,322532.894497623 4698652.18107598,322533.921121589 4698715.26882874,322535.894009271 4698747.55343377,322536.993357485 4698777.8601485,322542.413752842 4698806.50145274,322545.655487427 4698833.64249082,322547.858680446 4698862.03219198,322550.824532394 4698913.9590962,322550.458404931 4698935.1915436,322565.704748502 4698932.58187062,322578.122790172 4698928.8218045,322595.370517591 4698917.49431538,322618.512897201 4698891.90544375,322639.323586669 4698865.26471174,322663.505364757 4698835.20498243,322677.466862635 4698814.40519789,322690.011296198 4698802.64179993,322704.00517831 4698792.84171767,322718.168749041 4698786.48194743,322776.214624207 4698770.45269363,322784.142295063 4698781.14088193,322793.435372388 4698787.23869168,322804.87320503 4698793.50433171,322796.353770712 4698824.38840831,322792.012367819 4698844.72161662,322792.414693574 4698863.82331176,322796.316447881 4698891.05878268,322867.938324036 4698881.2416377,322920.821700513 4698872.67811641,322952.31058728 4698867.76854287,323025.031671635 4698907.81603391,323079.047223709 4698963.44976502,323092.155958839 4698954.45069945,323101.873260171 4698951.31556398,323109.450771914 4698951.45698604,323118.53940974 4698956.00476277,323121.257164257 4698969.04755519,323119.46114782 4698995.64963442,323119.944875262 4699014.74924172,323125.973880063 4699025.26363363,323135.992581086 4699056.78892728,323143.65072778 4699076.37354122,323202.493832664 4699052.88281573,323428.698061402 4699055.27150949,323453.818849729 4699055.747584,323469.267368156 4699018.80018983,323498.417096043 4698976.72861834,323518.152751685 4698949.78449096,323547.189101464 4698919.49422147,323564.349483613 4698911.17152227,323592.893489327 4698897.22780947,323605.985193944 4698890.78582633,323651.071887179 4698876.64680888,323681.702886215 4698867.09537894,323707.214378713 4698853.67317231,323715.31840514 4698848.57956536,323721.882662719 4698841.19141793,323726.322829993 4698831.1901285,323727.650617177 4698821.82296704,323724.117031213 4698799.24471225,323709.372046621 4698756.50428988,323701.54624826 4698723.70069614,323698.123848839 4698699.00846172,323691.459548994 4698699.17668083,323662.359321292 4698700.9113326,323651.960824082 4698703.17393453,323648.672616814 4698703.36807086,323644.281185955 4698702.25668484,323609.878945304 4698692.90281791,323600.62764154 4698691.6919612,323578.7769767 4698680.57676543,323564.39930421 4698668.71728562,323549.595221167 4698649.75724447,323522.406439763 4698603.33137485,323504.429711296 4698576.11794944,323487.272814417 4698548.77273128,323448.834404277 4698490.51985576,323414.7515969 4698438.49061167,323362.814326152 4698373.91250163,323344.117545609 4698350.82889946,323335.282446863 4698340.05193947,323331.288924059 4698335.15275724,323297.988711998 4698301.10486916,323293.21447465 4698297.89218229,323249.827908743 4698262.21069716,323242.526198001 4698256.72857377,323232.291261334 4698249.20949148,323212.921101144 4698238.58814673,323196.169043747 4698230.56735501,323192.109169203 4698229.55895696,323178.695321957 4698226.56501702,323156.281140705 4698225.79901554,323128.455332702 4698229.17025153,323068.852854475 4698242.45781535,323056.68019224 4698246.21070837,323039.714858334 4698252.52956786,323019.769871837 4698261.47961296,323000.459984191 4698272.74704961,322988.786036582 4698279.93200782,323001.375708859 4698289.39115986,323014.131338778 4698305.40193732,323026.779342463 4698333.41592554,323032.737990503 4698357.37701107,323035.898410428 4698384.6313358,323035.164269657 4698407.65082422,323030.65514705 4698424.6546029,323024.256455624 4698441.81737498,322998.868689649 4698499.12952181,322994.117059532 4698509.80589832,322985.636284374 4698526.02144011,322963.49504962 4698568.47312157,322949.082907107 4698594.28387319,322939.04449105 4698597.76068168,322931.236642783 4698598.2919551,322920.577896999 4698596.78431667,322909.048516677 4698593.40980322,322887.677493574 4698588.28476997,322882.259100753 4698585.64427365,322859.821854852 4698577.43512276,322850.646859554 4698576.00107564,322830.481126382 4698572.95684079,322811.662792502 4698571.10075532,322781.407920635 4698569.5348726,322751.623588336 4698570.29060921,322728.656437759 4698573.65134888,322707.681406366 4698574.40593881,322665.698557117 4698568.13803639,322623.034841641 4698560.99874521,322599.640371371 4698557.25934842,322582.569468591 4698556.13730418,322563.515437787 4698554.73232994,322518.509692248 4698555.87573601,322525.04173042 4698589.37788293)))",
2.50174E+11,356701_6,"MULTIPOLYGON (((322626.490591787 4697938.3294861,322676.726187184 4697990.61199399,322692.893910221 4698004.75779412,322710.96480256 4698022.52214655,322731.693461838 4698044.44149452,322779.987732166 4698091.66261179,322830.702315506 4698149.93420213,322900.123188787 4698075.72666977,322921.453083671 4697997.96074689,322941.152023661 4697933.79233882,322968.665596104 4697856.31438046,322985.198560133 4697819.89409964,323017.177725661 4697749.63687165,323026.384083305 4697729.51403287,323043.020299037 4697703.64726508,323193.914123885 4697464.70761315,323207.715679835 4697320.24216392,323225.912602189 4697212.77803227,323231.009668496 4697199.42640793,323270.977208849 4697096.41196424,323309.06849673 4696958.22185093,323329.737067326 4696902.80857334,323278.710155892 4696894.20948141,323256.90518943 4696891.64967956,323226.978941846 4696887.0730636,323191.000851977 4696877.64950515,323185.626265706 4696876.78544619,323151.066776742 4696868.10400155,323108.442069175 4696859.62685741,323064.734092147 4696847.39947977,323056.189496008 4696870.94997892,323047.313276119 4696917.17637093,323032.481898648 4696994.88805044,323024.912436632 4697024.41413451,323024.723861461 4697029.97466751,323012.537133839 4697098.28578205,323006.820558853 4697129.4317021,323002.804816037 4697156.20105893,323000.334452376 4697175.70878975,322997.250851454 4697184.00942016,322989.247979787 4697186.65666854,322981.598111688 4697209.74018492,322968.221533443 4697247.30265817,322974.819012582 4697247.69109557,322997.490319463 4697242.22772462,323018.196534703 4697230.70286288,323033.696602408 4697215.19864653,323040.904810319 4697200.68224835,323046.006597259 4697177.77444711,323057.90732622 4697143.69409622,323068.252036304 4697126.20932462,323084.910969142 4697107.67579452,323098.037436944 4697099.23208964,323115.039424882 4697094.24599582,323140.370038809 4697089.71584653,323172.04778776 4697088.6919775,323181.650139352 4697090.67130871,323194.548241429 4697099.23416833,323196.542151474 4697103.18386184,323196.935475834 4697118.73001256,323192.874508704 4697130.7220653,323177.716701703 4697159.77327138,323161.737713179 4697205.17921371,323159.020059558 4697224.69312461,323159.596941194 4697244.2347782,323157.487072865 4697261.73323963,323149.189666643 4697285.27739764,323132.983548604 4697321.68886617,323120.785657715 4697340.77607656,323106.247640573 4697368.25618911,323091.992934004 4697410.17413809,323092.443517059 4697424.71881717,323097.421358684 4697445.70467218,323106.848459829 4697466.80012074,323115.575024111 4697486.24658632,323123.182450406 4697510.2771121,323123.724971196 4697531.70860446,323120.924060562 4697544.66886712,323114.342727234 4697561.16940555,323100.901833049 4697583.17714762,323073.028136431 4697610.77279004,323043.104544961 4697632.19801942,323001.465289702 4697665.69838848,322992.167475469 4697675.71208111,322973.760434555 4697703.17945706,322967.008679001 4697709.68410398,322958.217327461 4697713.68478707,322942.313389353 4697713.19887796,322901.182206068 4697695.24059841,322875.611824817 4697690.2219012,322836.253064677 4697690.2197567,322825.737787179 4697687.93074104,322807.902407332 4697711.93951568,322800.533166188 4697713.57091107,322792.291954871 4697719.78016535,322774.252766994 4697742.23859007,322759.150664671 4697763.62251952,322732.083234074 4697800.19954983,322719.14958099 4697819.41736717,322696.828098194 4697848.31827474,322677.191219867 4697875.92885526,322654.782179517 4697904.60991049,322626.490591787 4697938.3294861)))",
2.50174E+11,356300_6,"MULTIPOLYGON (((322838.783209425 4698163.39647752,322864.502090218 4698184.07847233,322909.553720735 4698220.38218263,322924.699300159 4698233.22099448,322932.525948698 4698239.9117657,322988.786036582 4698279.93200782,323000.459984191 4698272.74704961,323019.769871837 4698261.47961296,323039.714858334 4698252.52956786,323056.68019224 4698246.21070837,323068.852854475 4698242.45781535,323128.455332702 4698229.17025153,323156.281140705 4698225.79901554,323178.695321957 4698226.56501702,323192.109169203 4698229.55895696,323196.169043747 4698230.56735501,323212.921101144 4698238.58814673,323232.291261334 4698249.20949148,323284.283800969 4698182.44721753,323327.900856349 4698129.56435816,323356.077486687 4698153.0749208,323373.121284502 4698162.86655908,323389.671143357 4698162.89259913,323407.074694772 4698164.1193634,323421.034674038 4698172.43345869,323463.965627538 4698222.68356024,323486.396785031 4698253.45116189,323492.958884946 4698285.06423805,323492.00063485 4698302.53350371,323499.312274734 4698292.12618094,323520.072063709 4698273.04548489,323569.150601256 4698234.24892463,323621.213381998 4698189.71053591,323583.219385638 4698142.55717917,323539.481024506 4698089.66001021,323487.64082679 4698028.96750513,323447.717096749 4697986.97484409,323403.508498283 4697944.86846682,323366.113238658 4697908.47917693,323325.905857846 4697871.60560477,323268.794507361 4697905.38456678,323165.658019683 4697965.21864716,323090.812031707 4698010.67071717,323088.121979672 4698011.73887483,323058.485737152 4698024.93433626,323048.199585407 4698028.41721081,323040.658350032 4698026.49703552,323034.507490897 4698024.20830245,322994.273126146 4698067.56255093,322984.335824301 4698058.81399315,322952.444679123 4698083.73418196,322921.786495381 4698102.06746519,322870.073539187 4698131.0462197,322830.702315506 4698149.93420213,322838.783209425 4698163.39647752)))",
