name,node_id,zone_id,node_type,control_type,x_coord,y_coord,geometry
,102004,168,,,-84.07328649,40.75604787,
,102005,168,,,-84.07333249,40.75582787,
,102006,181,,,-84.10947538,40.74436256,
,102007,181,,,-84.10853233,40.74475135,
,102008,181,,,-84.10695809,40.74477267,
,102009,181,,,-84.10790996,40.74475978,
,102010,193,,,-84.14885625,40.73032914,
,102011,14,,,-84.10694855,40.74635098,
,102012,131,,,-84.108521,40.74632969,
,102013,181,,,-84.11048866,40.7443481,
,102014,131,,,-84.11053484,40.74631697,
,102015,131,,,-84.11055024,40.74697326,
,102016,7,,,-84.10504817,40.73995067,
,102017,8,,,-84.1048103,40.73990759,
,102018,11,,,-84.10504964,40.73984753,
,102019,11,,,-84.10529442,40.73990972,
,102020,10,,,-84.10498378,40.73985629,
,102021,7,,,-84.10498569,40.73993785,
,102022,7,,,-84.10512054,40.73993836,
,102023,11,,,-84.10511864,40.7398568,
,102500,311,,,-83.99754395,40.81901852,
,102501,313,,,-83.99752795,40.81873452,
,102506,48,,,-84.0385422,40.79207268,
,102507,48,,,-84.0379402,40.79214568,
,102508,44,,,-84.04872926,40.78531271,
,102509,44,,,-84.04697325,40.78624171,
,102510,61,,,-84.07555447,40.72944395,
,102511,67,,,-84.07543446,40.73010991,
,102512,168,,,-84.07078241,40.77078379,
,102513,168,,,-84.07067141,40.77059878,
,102514,168,,,-84.07557447,40.76105283,
,102515,168,,,-84.07546246,40.76314882,
,102516,168,,,-84.0755765,40.75563287,
,102517,168,,,-84.0754495,40.75562987,
,102518,46,,,-84.07555251,40.75325888,
,102519,46,,,-84.07544151,40.75288388,
,102520,58,,,-84.07559647,40.73356387,
,102521,173,,,-84.07544148,40.73542689,
,102522,61,,,-84.07550745,40.7258279,
,102523,67,,,-84.07529145,40.72554481,
,102524,62,,,-84.07538243,40.72060385,
,102525,69,,,-84.07508242,40.71699285,
,102526,62,,,-84.07535043,40.71740493,
,102527,69,,,-84.07506242,40.71387695,
,102528,84,,,-84.07571038,40.70259981,
,102529,69,,,-84.07538738,40.7026209,
,102530,86,,,-84.0851444,40.69909291,
,102531,86,,,-84.0855194,40.69890693,
,102532,85,,,-84.09445042,40.69907079,
,102533,85,,,-84.09434442,40.69885882,
,102534,107,,,-84.10839946,40.69877391,
,102535,107,,,-84.10831746,40.6985949,
,102536,104,,,-84.12156846,40.68846785,
,102537,107,,,-84.12045546,40.68920594,
,102538,106,,,-84.12613246,40.68406381,
,102539,107,,,-84.12524146,40.68465086,
,102540,107,,,-84.13145437,40.65761583,
,102541,0,,,-84.13116737,40.65755596,
,102542,61,,,-84.07685212,40.73040997,
,102544,100,,,-84.11699527,40.71181745,
,102545,45,,,-84.06434844,40.75824486,
,102546,90,,,-84.07052425,40.6522019,
,102553,31,,,-84.12879538,40.81628151,
,102554,66,,,-84.06848644,40.72936192,
,102555,155,,,-84.16552672,40.78628477,
,102556,160,,,-84.19279291,40.75564578,
,103400,31,,,-84.14733643,40.81703351,
,103413,48,,,-84.02794905,40.81773853,
,103415,367,,,-83.98930332,40.69482977,
,103422,91,,,-84.03212615,40.65388574,
,103500,343,,,-83.89912478,40.81235654,
,103501,0,,,-83.88015174,40.81256654,
,103502,357,,,-83.98557362,40.71685993,
,103503,365,,,-83.99398798,40.70955324,
,103504,342,,,-83.89935265,40.84867443,
,103505,0,,,-83.88026162,40.84796445,
,103506,343,,,-83.89923076,40.81960752,
,103507,0,,,-83.88016972,40.81979352,
,103508,349,,,-83.89903587,40.78680562,
,103509,0,,,-83.88008082,40.79062859,
,103510,361,,,-83.89930093,40.70286858,
,103511,0,,,-83.87993188,40.70322954,
,103512,326,,,-83.8996174,40.9202832,
,103513,332,,,-83.88050038,40.92036826,
,103514,341,,,-83.8993917,40.83413147,
,103515,0,,,-83.88022067,40.83429348,
,103516,340,,,-83.8996016,40.86325838,
,103517,0,,,-83.88030657,40.86245441,
,103518,358,,,-83.90854502,40.74678575,
,103519,358,,,-83.88001795,40.74695969,
,103520,349,,,-83.89901884,40.79688759,
,103521,0,,,-83.88011578,40.80142357,
,103524,373,,,-83.89317484,40.65389248,
,103525,0,,,-83.8800948,40.65222044,
,103526,351,,,-83.89888196,40.7613697,
,103527,351,,,-83.87998492,40.76167767,
,103528,335,,,-83.88947348,40.8951763,
,103529,333,,,-83.88355345,40.89963631,
,103530,373,,,-83.88697581,40.64478851,
,103531,350,,,-83.89898591,40.77587466,
,103532,350,,,-83.88003287,40.77617163,
,103533,335,,,-83.88825748,40.89422731,
,103534,334,,,-83.88040147,40.89240233,
,103535,359,,,-83.89932598,40.73232863,
,103536,359,,,-83.87984193,40.73241467,
,103537,342,,,-83.89924673,40.8274455,
,103538,342,,,-83.88021969,40.8277715,
,103539,343,,,-83.89925073,40.8270735,
,103540,0,,,-83.8801867,40.8274595,
,103541,340,,,-83.89490652,40.88385432,
,103542,340,,,-83.8807775,40.88446335,
,103543,340,,,-83.89311352,40.88427533,
,103544,340,,,-83.8807725,40.88466435,
,103545,309,,,-83.99515963,40.89061708,
,103546,311,,,-84.0342478,40.83204513,
,103547,313,,,-83.99123156,40.81771696,
,103548,0,,,-83.87727239,40.82749301,
,103549,308,,,-84.02814472,40.89021409,
,103550,307,,,-84.02826169,40.89748404,
,103551,309,,,-84.00446865,40.89060008,
,103552,315,,,-83.97583361,40.83164661,
,103553,323,,,-83.95748858,40.89134016,
,103554,339,,,-83.90901921,40.89212725,
,103555,339,,,-83.91912153,40.89194825,
,103556,327,,,-83.9192055,40.89921922,
,103557,306,,,-84.05213479,40.8898831,
,103558,306,,,-84.05226676,40.89731806,
,103559,308,,,-84.01374768,40.89047808,
,103560,307,,,-84.01383562,40.90485399,
,103561,323,,,-83.93834755,40.8916392,
,103562,325,,,-83.93839953,40.89889517,
,103563,368,,,-83.98551048,40.6587167,
,103564,306,,,-84.07401783,40.89393109,
,103565,306,,,-84.07294881,40.89726707,
,103566,335,,,-83.89031462,40.89448927,
,103567,323,,,-83.9764836,40.89115612,
,103568,325,,,-83.97640854,40.90532404,
,103569,262,,,-84.34947732,40.84709802,
,103570,337,,,-83.90005515,40.89228444,
,103571,328,,,-83.90020517,40.89962673,
,103572,224,,,-84.39680223,40.69950842,
,103574,246,,,-84.3590608,40.79038074,
,103575,0,,,-84.39735826,40.81589096,
,103576,248,,,-84.39725729,40.801145,
,103577,225,,,-84.39690128,40.71409439,
,103578,297,,,-84.16654489,40.82414394,
,103579,298,,,-84.13796321,40.85293533,
,103580,259,,,-84.34228335,40.84373406,
,103581,296,,,-84.16659637,40.83938739,
,103582,298,,,-84.14730934,40.83424842,
,103583,368,,,-83.98476088,40.65135067,
,103584,372,,,-83.9297549,40.64456456,
,103585,368,,,-83.97554501,40.64419167,
,103586,298,,,-84.13793518,40.85997429,
,103587,298,,,-84.1664254,40.83479542,
,103588,297,,,-84.14732436,40.83013144,
,103589,297,,,-84.1666384,40.83457642,
,103590,297,,,-84.14732936,40.82986244,
,103591,241,,,-84.34937361,40.75764734,
,103592,243,,,-84.34941659,40.76487631,
,103593,290,,,-84.27371664,40.82358338,
,103594,290,,,-84.28175255,40.83754329,
