name,link_id,from_node_id,to_node_id,facility_type,dir_flag,length,lanes,capacity,free_speed,link_type,cost,VDF_cap1,VDF_alpha1,VDF_beta1,VDF_PHF1,VDF_gamma1,VDF_mu1
NAPOLEON RD,5652,104202,103552,arterial,1,0.086742424,1,1800,31,1,,1800,0.25,3,1,1,100
LINCOLN HWY,5653,104202,104283,arterial,1,0.129545455,2,3352,20,1,,3352,0.25,3,1,1,100
WEST ST,5654,104202,104287,arterial,1,0.251704545,1,1560,33,1,,1560,0.25,3,1,1,100
WEST ST,5655,104202,104306,arterial,1,0.06780303,1,1421,22,1,,1421,0.25,3,1,1,100
TOM FETT RD,5656,104203,104338,arterial,1,0.75,1,1560,37,1,,1560,0.25,3,1,1,100
TOM FETT RD,5657,104203,104341,arterial,1,0.253409091,1,1618,35,1,,1618,0.25,3,1,1,100
I-75,5658,104204,104233,freeway,1,0.321212121,2,4224,70,1,,4224,0.15,4,1,1,100
I-75,5659,104205,104204,freeway,1,0.616856061,2,3236,70,1,,3236,0.15,4,1,1,100
I-75,5660,104206,104303,freeway,1,0.325757576,2,4224,70,1,,4224,0.15,4,1,1,100
I-75,5661,104207,104206,freeway,1,1.077651515,2,4224,70,1,,4224,0.15,4,1,1,100
US-30,5662,104208,104267,freeway,1,0.555871212,2,4224,68,1,,4224,0.15,4,1,1,100
US-30,5663,104209,104208,freeway,1,0.204166667,2,4224,68,1,,4224,0.15,4,1,1,100
US-30,5664,104210,104209,freeway,1,0.309280303,2,4224,68,1,,4224,0.15,4,1,1,100
I-75,5665,104211,104212,freeway,1,1.06875,2,4224,70,1,,4224,0.15,4,1,1,100
I-75,5666,104212,104354,freeway,1,0.262689394,2,4224,70,1,,4224,0.15,4,1,1,100
