name,link_id,from_node_id,to_node_id,facility_type,dir_flag,length,lanes,capacity,free_speed,link_type,cost,VDF_fftt1,VDF_cap1,VDF_alpha1,VDF_beta1,VDF_PHF1,VDF_gamma1,VDF_mu1
0,1,1,100002,hot,1,277,1,1800,25,1,,664,1800,0.15,4,1,1,100
0,2,1,101990,hot,1,239,1,1800,25,1,,573,1800,0.15,4,1,1,100
0,3,1,101997,hot,1,293,1,1800,25,1,,703,1800,0.15,4,1,1,100
0,4,1,101998,hot,1,230,1,1800,25,1,,552,1800,0.15,4,1,1,100
0,5,2,100004,hot,1,264,1,1800,25,1,,633,1800,0.15,4,1,1,100
0,6,2,101992,hot,1,226,1,1800,25,1,,542,1800,0.15,4,1,1,100
0,7,2,101996,hot,1,277,1,1800,25,1,,664,1800,0.15,4,1,1,100
0,8,2,101997,hot,1,206,1,1800,25,1,,494,1800,0.15,4,1,1,100
0,9,3,101995,hot,1,170,1,1800,25,1,,408,1800,0.15,4,1,1,100
0,10,3,101996,hot,1,112,1,1800,25,1,,268,1800,0.15,4,1,1,100
0,11,4,100020,hot,1,204,1,1800,25,1,,489,1800,0.15,4,1,1,100
0,12,4,100021,hot,1,96,1,1800,25,1,,230,1800,0.15,4,1,1,100
0,13,5,100004,hot,1,196,1,1800,25,1,,470,1800,0.15,4,1,1,100
0,14,5,100007,hot,1,287,1,1800,25,1,,688,1800,0.15,4,1,1,100
0,15,5,100008,hot,1,188,1,1800,25,1,,451,1800,0.15,4,1,1,100
0,16,5,100017,hot,1,260,1,1800,25,1,,624,1800,0.15,4,1,1,100
0,17,6,100002,hot,1,242,1,1800,25,1,,580,1800,0.15,4,1,1,100
0,18,6,100008,hot,1,313,1,1800,25,1,,751,1800,0.15,4,1,1,100
0,19,6,100009,hot,1,226,1,1800,25,1,,542,1800,0.15,4,1,1,100
0,20,6,100014,hot,1,230,1,1800,25,1,,552,1800,0.15,4,1,1,100
0,21,7,100014,hot,1,231,1,1800,25,1,,554,1800,0.15,4,1,1,100
0,22,7,100022,hot,1,332,1,1800,25,1,,796,1800,0.15,4,1,1,100
0,23,7,100023,hot,1,201,1,1800,25,1,,482,1800,0.15,4,1,1,100
